Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Alvin Kamara,NO,RB,4,DET,28,27,8000,29.72
2,Dalvin Cook,MIN,RB,13,JAX,32,27,9500,25.99
3,Dalvin Cook,MIN,RB,12,CAR,17,26,9500,25.86
4,Alvin Kamara,NO,RB,5,LAC,18,5,8100,25.59
5,Alvin Kamara,NO,RB,7,CAR,11,27,7900,25.58
6,Dalvin Cook,MIN,RB,11,DAL,29,23,9000,25.35
7,Derrick Henry,TEN,RB,15,DET,30,32,9500,24.29
8,Derrick Henry,TEN,RB,17,HOU,30,32,9400,23.97
9,Christian McCaffrey,CAR,RB,1,LV,25,19,10000,23.96
10,Derrick Henry,TEN,RB,2,JAX,20,29,7900,23.04
11,Derrick Henry,TEN,RB,14,JAX,32,27,8700,23
12,Derrick Henry,TEN,RB,16,GB,14,28,9600,22.95
13,Derrick Henry,TEN,RB,8,CIN,23,19,8000,22.85
14,Derrick Henry,TEN,RB,6,HOU,20,28,7300,22.52
15,Christian McCaffrey,CAR,RB,2,TB,15,22,10000,22.12
16,Alvin Kamara,NO,RB,3,GB,20,23,7900,22.05
17,Alvin Kamara,NO,RB,16,MIN,24,17,null,21.89
18,Dalvin Cook,MIN,RB,9,DET,23,31,8200,21.82
19,Derrick Henry,TEN,RB,13,CLE,19,9,9200,21.81
20,Alvin Kamara,NO,RB,8,CHI,5,14,8200,21.71
21,Alvin Kamara,NO,RB,15,KC,11,15,7400,21.55
22,Derrick Henry,TEN,RB,3,MIN,31,22,7800,21.31
23,Ezekiel Elliott,DAL,RB,5,NYG,11,18,7800,21.27
24,Ezekiel Elliott,DAL,RB,3,SEA,28,6,8300,21.18
25,Ezekiel Elliott,DAL,RB,4,CLE,22,8,7800,21.06
26,Alvin Kamara,NO,RB,10,SF,9,2,8200,20.87
27,Ezekiel Elliott,DAL,RB,6,ARI,13,24,8100,20.57
28,Alvin Kamara,NO,RB,9,TB,4,8,8100,20.55
29,Mike Davis,CAR,RB,6,CHI,5,13,7000,20.49
30,Dalvin Cook,MIN,RB,4,HOU,26,29,7600,20.44
31,Clyde Edwards-Helaire,KC,RB,5,LV,22,32,6800,20.4
32,Kareem Hunt,CLE,RB,7,CIN,18,22,6800,20.39
32,Ezekiel Elliott,DAL,RB,2,ATL,31,25,8200,20.39
34,Alvin Kamara,NO,RB,11,ATL,31,4,9200,20.34
35,Dalvin Cook,MIN,RB,15,CHI,12,8,9000,20.31
36,Dalvin Cook,MIN,RB,10,CHI,5,10,8900,20.29
37,Dalvin Cook,MIN,RB,16,NO,6,1,null,20.19
38,Dalvin Cook,MIN,RB,14,TB,12,2,9400,19.98
39,Alvin Kamara,NO,RB,2,LV,23,26,7800,19.96
40,Aaron Jones,GB,RB,10,JAX,30,27,7100,19.9
41,Austin Ekeler,LAC,RB,15,LV,27,30,7500,19.87
42,Christian McCaffrey,CAR,RB,9,KC,3,15,8500,19.84
43,Aaron Jones,GB,RB,4,ATL,32,13,7500,19.66
43,Aaron Jones,GB,RB,16,TEN,24,25,7500,19.66
45,Mike Davis,CAR,RB,8,ATL,32,14,6700,19.65
46,Austin Ekeler,LAC,RB,1,CIN,24,24,7000,19.59
47,Austin Ekeler,LAC,RB,17,KC,12,17,7500,19.57
48,Kareem Hunt,CLE,RB,8,LV,26,30,6900,19.44
49,Aaron Jones,GB,RB,14,DET,29,32,7600,19.41
50,Ezekiel Elliott,DAL,RB,7,WAS,14,13,7800,19.33
51,Mike Davis,CAR,RB,7,NO,26,14,6600,19.21
52,Alvin Kamara,NO,RB,1,TB,23,2,7200,19.2
53,Dalvin Cook,MIN,RB,5,SEA,29,5,7600,19.11
54,Ezekiel Elliott,DAL,RB,1,LAR,14,17,8000,19.03
55,Austin Ekeler,LAC,RB,16,DEN,22,21,7600,19
56,Mike Davis,CAR,RB,5,ATL,32,19,6400,18.86
57,Saquon Barkley,NYG,RB,2,CHI,21,18,8400,18.85
58,Chase Edmonds,ARI,RB,9,MIA,9,23,6800,18.8
59,Aaron Jones,GB,RB,3,NO,21,13,7600,18.76
60,Derrick Henry,TEN,RB,1,DEN,8,10,7800,18.7
61,Miles Sanders,PHI,RB,3,CIN,15,31,6400,18.64
62,Dalvin Cook,MIN,RB,1,GB,12,23,7900,18.61
63,Dalvin Cook,MIN,RB,8,GB,17,31,7500,18.54
64,Saquon Barkley,NYG,RB,1,PIT,5,5,8500,18.51
65,Austin Ekeler,LAC,RB,13,NE,12,17,7100,18.49
66,Derrick Henry,TEN,RB,9,CHI,7,14,7900,18.47
67,Alvin Kamara,NO,RB,12,DEN,15,15,8200,18.44
68,Austin Ekeler,LAC,RB,14,ATL,26,4,7000,18.43
69,Dalvin Cook,MIN,RB,3,TEN,18,19,7600,18.32
70,Kareem Hunt,CLE,RB,5,IND,1,3,6500,18.26
71,Chris Carson,SEA,RB,5,MIN,28,20,6400,18.21
71,Aaron Jones,GB,RB,6,TB,4,8,7600,18.21
71,Jamaal Williams,GB,RB,8,MIN,31,16,6100,18.21
74,Jonathan Taylor,IND,RB,17,JAX,31,29,7400,18.18
75,Clyde Edwards-Helaire,KC,RB,4,NE,10,11,null,18.08
76,David Montgomery,CHI,RB,16,JAX,31,29,7700,18.07
