Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Travis Kelce,KC,TE,4,PHI,8,24,8100,20.77
2,Taysom Hill,NO,TE,18,ATL,26,30,6200,20.14
3,Travis Kelce,KC,TE,2,BAL,32,29,8500,20.13
4,Travis Kelce,KC,TE,1,CLE,20,28,8300,20.12
5,Taysom Hill,NO,TE,14,NYJ,32,24,5600,20.04
6,Travis Kelce,KC,TE,7,TEN,25,3,7600,19.79
7,Taysom Hill,NO,TE,17,CAR,4,5,6000,19.7
8,Travis Kelce,KC,TE,3,LAC,7,17,8200,19.64
9,Travis Kelce,KC,TE,5,BUF,1,5,7600,19.43
10,Travis Kelce,KC,TE,6,WAS,31,14,7000,19.41
11,Taysom Hill,NO,TE,15,TB,13,26,6200,19.39
12,Taysom Hill,NO,TE,13,DAL,19,14,5000,19.2
13,Travis Kelce,KC,TE,8,NYG,22,18,7500,18.61
14,Travis Kelce,KC,TE,11,DAL,10,21,7100,18
15,Travis Kelce,KC,TE,17,CIN,18,25,7300,17.94
16,Travis Kelce,KC,TE,14,LV,25,32,7400,17.83
17,Travis Kelce,KC,TE,13,DEN,5,3,7300,17.82
18,George Kittle,SF,TE,15,ATL,28,18,7500,17.76
19,Travis Kelce,KC,TE,9,GB,7,16,7000,17.69
20,Travis Kelce,KC,TE,10,LV,10,28,6900,17.56
21,Darren Waller,LV,TE,4,LAC,8,21,7100,17.53
22,Darren Waller,LV,TE,3,MIA,13,20,7400,17.48
23,George Kittle,SF,TE,16,TEN,14,5,7400,17.29
24,Travis Kelce,KC,TE,18,DEN,3,2,7000,16.96
25,Darren Waller,LV,TE,10,KC,26,29,6300,16.94
26,Darren Waller,LV,TE,2,PIT,10,10,7600,16.82
27,Darren Waller,LV,TE,5,CHI,18,8,7300,16.79
28,George Kittle,SF,TE,1,DET,32,18,6300,16.67
29,Darren Waller,LV,TE,1,BAL,4,10,7500,16.43
30,Darren Waller,LV,TE,9,NYG,19,14,6200,16.27
31,Mark Andrews,BAL,TE,17,LAR,9,12,7400,16.17
32,Travis Kelce,KC,TE,15,LAC,19,28,7200,16.06
33,Darren Waller,LV,TE,6,DEN,2,2,6600,15.78
34,George Kittle,SF,TE,14,CIN,13,16,6900,15.73
35,Darren Waller,LV,TE,12,DAL,13,25,6400,15.41
36,George Kittle,SF,TE,17,HOU,29,27,7100,15.4
36,Kyle Pitts,ATL,TE,8,CAR,6,16,6300,15.4
38,George Kittle,SF,TE,2,PHI,2,16,6400,15.31
39,George Kittle,SF,TE,13,SEA,23,22,5900,15.25
40,Rob Gronkowski,TB,TE,15,NO,8,7,6000,14.99
41,Mark Andrews,BAL,TE,18,PIT,22,9,7500,14.98
41,Darren Waller,LV,TE,11,CIN,14,11,6100,14.98
43,George Kittle,SF,TE,11,JAX,17,22,6300,14.93
44,George Kittle,SF,TE,12,MIN,28,6,6400,14.9
45,George Kittle,SF,TE,18,LAR,8,14,6700,14.71
46,Mark Andrews,BAL,TE,7,CIN,4,7,6000,14.68
47,Mark Andrews,BAL,TE,6,LAC,12,30,5200,14.66
48,Mark Andrews,BAL,TE,9,MIN,17,6,5500,14.63
49,Mark Andrews,BAL,TE,12,CLE,11,18,6200,14.3
49,Mark Andrews,BAL,TE,10,MIA,29,20,5700,14.3
51,George Kittle,SF,TE,10,LAR,8,22,6000,14.27
52,T.J. Hockenson,DET,TE,3,BAL,32,32,5200,14.22
53,Mark Andrews,BAL,TE,13,PIT,22,10,6000,14.07
53,Mark Andrews,BAL,TE,11,CHI,26,6,6000,14.07
55,Kyle Pitts,ATL,TE,12,JAX,20,23,6100,14.06
56,George Kittle,SF,TE,4,SEA,27,15,5900,14.02
57,Kyle Pitts,ATL,TE,10,DAL,20,23,5800,13.97
58,Mark Andrews,BAL,TE,16,CIN,16,24,7000,13.96
59,Mark Andrews,BAL,TE,1,LV,26,17,5300,13.78
60,Rob Gronkowski,TB,TE,14,BUF,1,5,6000,13.75
61,Darren Waller,LV,TE,18,LAC,24,32,6100,13.68
62,George Kittle,SF,TE,3,GB,18,30,6200,13.66
63,Mark Andrews,BAL,TE,15,GB,6,11,6400,13.61
64,Rob Gronkowski,TB,TE,16,CAR,4,10,6200,13.59
65,Mike Gesicki,MIA,TE,9,HOU,29,30,4900,13.56
66,Kyle Pitts,ATL,TE,9,NO,5,3,5900,13.52
67,T.J. Hockenson,DET,TE,2,GB,27,30,5500,13.5
68,Rob Gronkowski,TB,TE,17,NYJ,32,24,6200,13.36
68,Kyle Pitts,ATL,TE,11,NE,3,4,5900,13.36
70,Mark Andrews,BAL,TE,5,IND,15,15,5400,13.34
71,Rob Gronkowski,TB,TE,13,ATL,26,14,5300,13.31
72,Kyle Pitts,ATL,TE,5,NYJ,10,8,4700,13.26
72,T.J. Hockenson,DET,TE,4,CHI,19,10,5800,13.26
74,Mark Andrews,BAL,TE,2,KC,17,24,5900,13.22
75,Rob Gronkowski,TB,TE,18,CAR,5,10,6300,13.2
76,T.J. Hockenson,DET,TE,8,PHI,19,22,5400,13.1
77,T.J. Hockenson,DET,TE,5,MIN,24,12,5500,13.09
78,Mark Andrews,BAL,TE,14,CLE,10,20,5900,12.99
79,Zach Ertz,ARI,TE,18,SEA,23,24,5300,12.84
80,Mark Andrews,BAL,TE,3,DET,28,22,5000,12.83
81,Mike Gesicki,MIA,TE,15,NYJ,32,25,5000,12.81
82,Kyle Pitts,ATL,TE,7,MIA,31,19,5900,12.7
83,Kyle Pitts,ATL,TE,17,BUF,1,4,5900,12.64
84,T.J. Hockenson,DET,TE,1,SF,5,1,4900,12.61
85,Kyle Pitts,ATL,TE,16,DET,30,16,5800,12.55
86,Mike Gesicki,MIA,TE,11,NYJ,32,23,5200,12.54
87,Dalton Schultz,DAL,TE,12,LV,23,29,5300,12.53
88,Kyle Pitts,ATL,TE,3,NYG,25,29,4900,12.48
89,Dallas Goedert,PHI,TE,16,NYG,22,14,5100,12.39
90,T.J. Hockenson,DET,TE,10,PIT,11,14,5500,12.35
91,Noah Fant,DEN,TE,2,JAX,29,18,4200,12.28
92,Mark Andrews,BAL,TE,4,DEN,1,4,5300,12.27
93,Dallas Goedert,PHI,TE,17,WAS,31,18,5100,12.25
93,Kyle Pitts,ATL,TE,1,PHI,21,22,4400,12.25
95,Kyle Pitts,ATL,TE,13,TB,10,23,5600,12.22
96,Mike Gesicki,MIA,TE,10,BAL,24,32,4900,12.21
97,Logan Thomas,WAS,TE,2,NYG,18,25,5100,12.2
98,Noah Fant,DEN,TE,5,PIT,15,10,4900,12.11
99,Dallas Goedert,PHI,TE,9,LAC,16,29,4500,12.09
100,T.J. Hockenson,DET,TE,7,LAR,10,16,5100,12.07
101,T.J. Hockenson,DET,TE,13,MIN,31,4,5200,11.98
102,Noah Fant,DEN,TE,3,NYJ,9,13,4800,11.97
103,Dalton Schultz,DAL,TE,10,ATL,27,18,5000,11.93
104,Noah Fant,DEN,TE,8,WAS,32,19,4900,11.92
105,Kyle Pitts,ATL,TE,2,TB,28,17,5200,11.9
106,Noah Fant,DEN,TE,6,LV,9,22,4800,11.8
107,Rob Gronkowski,TB,TE,3,LAR,8,19,5500,11.79
107,T.J. Hockenson,DET,TE,6,CIN,7,5,5000,11.79
109,T.J. Hockenson,DET,TE,12,CHI,21,7,5200,11.76
110,Zach Ertz,ARI,TE,17,DAL,10,21,5200,11.69
110,Noah Fant,DEN,TE,4,BAL,24,31,4300,11.69
112,Rob Gronkowski,TB,TE,2,ATL,24,27,4700,11.66
113,Mike Gesicki,MIA,TE,7,ATL,23,14,4700,11.63
114,Dallas Goedert,PHI,TE,8,DET,29,13,4700,11.62
114,Dalton Schultz,DAL,TE,11,KC,24,26,4600,11.62
116,Mike Gesicki,MIA,TE,6,JAX,28,27,4300,11.56
117,Zach Ertz,ARI,TE,16,IND,15,29,4800,11.52
118,Logan Thomas,WAS,TE,3,BUF,1,12,4700,11.47
119,Dallas Goedert,PHI,TE,15,WAS,27,11,4900,11.45
120,Logan Thomas,WAS,TE,4,ATL,25,27,4900,11.44
121,Dawson Knox,BUF,TE,6,TEN,24,2,4800,11.39
121,Dawson Knox,BUF,TE,15,CAR,4,12,5100,11.39
121,Dalton Schultz,DAL,TE,6,NE,4,4,4900,11.39
124,Dalton Schultz,DAL,TE,17,ARI,5,2,5000,11.38
125,Dalton Schultz,DAL,TE,8,MIN,16,10,5200,11.31
126,Tyler Higbee,LAR,TE,2,IND,21,23,4100,11.3
127,Dalton Schultz,DAL,TE,13,NO,13,10,5700,11.27
128,Dallas Goedert,PHI,TE,12,NYG,23,17,4800,11.26
129,Zach Ertz,ARI,TE,15,DET,30,17,5400,11.25
129,Mike Gesicki,MIA,TE,12,CAR,4,10,5300,11.25
129,Dalton Schultz,DAL,TE,9,DEN,3,4,4800,11.25
132,Kyle Pitts,ATL,TE,14,CAR,4,10,5500,11.15
