Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Cooper Kupp,LAR,WR,17,BAL,27,29,9500,27.88
2,Cooper Kupp,LAR,WR,18,SF,7,22,9700,27.04
3,Cooper Kupp,LAR,WR,15,SEA,25,6,8800,26.95
4,Cooper Kupp,LAR,WR,16,MIN,31,32,9100,26.88
5,Cooper Kupp,LAR,WR,9,TEN,23,32,9400,26.78
6,Davante Adams,GB,WR,7,WAS,32,31,8900,26.75
7,Cooper Kupp,LAR,WR,13,JAX,20,19,9000,26.39
8,Davante Adams,GB,WR,15,BAL,17,18,8900,25.57
9,Cooper Kupp,LAR,WR,10,SF,15,10,9500,25.42
10,Cooper Kupp,LAR,WR,12,GB,6,9,9600,25.41
11,Cooper Kupp,LAR,WR,8,HOU,26,6,9000,25.33
12,Cooper Kupp,LAR,WR,14,ARI,3,13,9200,25.2
13,Justin Jefferson,MIN,WR,14,PIT,22,23,8300,24.93
14,Justin Jefferson,MIN,WR,15,CHI,25,29,8000,24.25
15,Davante Adams,GB,WR,2,DET,28,26,8300,23.05
16,Davante Adams,GB,WR,17,MIN,30,32,9300,22.89
17,Davante Adams,GB,WR,6,CHI,8,24,9000,22.54
18,Davante Adams,GB,WR,4,PIT,14,26,7900,22.52
19,Davante Adams,GB,WR,1,NO,6,16,8300,22.39
20,Davante Adams,GB,WR,11,MIN,21,26,8400,21.6
21,Davante Adams,GB,WR,16,CLE,13,10,8700,21.57
22,Tyreek Hill,KC,WR,7,TEN,25,32,8600,21.56
23,Tyreek Hill,KC,WR,2,BAL,32,21,8400,21.52
24,Davante Adams,GB,WR,3,SF,16,5,8300,21.39
25,Davante Adams,GB,WR,14,CHI,17,23,8600,21.33
26,Davante Adams,GB,WR,10,SEA,19,11,7900,21.3
27,Tyreek Hill,KC,WR,3,LAC,7,1,8400,21.16
27,Cooper Kupp,LAR,WR,4,ARI,9,23,7800,21.16
29,Davante Adams,GB,WR,12,LAR,9,10,8600,21.15
30,Tyreek Hill,KC,WR,1,CLE,20,26,8200,21.14
31,Davante Adams,GB,WR,5,CIN,6,15,8200,21.02
32,Cooper Kupp,LAR,WR,7,DET,26,9,8400,20.92
33,Tyreek Hill,KC,WR,6,WAS,31,28,8500,20.9
34,Tyreek Hill,KC,WR,11,DAL,10,23,8200,20.86
35,Tyreek Hill,KC,WR,4,PHI,8,2,8000,20.83
36,Tyreek Hill,KC,WR,9,GB,7,7,7900,20.69
37,Tyreek Hill,KC,WR,8,NYG,22,17,8300,20.64
38,Tyreek Hill,KC,WR,13,DEN,5,13,8400,20.36
39,Tyreek Hill,KC,WR,10,LV,10,3,7700,20.19
40,Tyreek Hill,KC,WR,5,BUF,1,1,8900,20.08
41,Tyreek Hill,KC,WR,14,LV,25,4,8500,19.97
42,Stefon Diggs,BUF,WR,1,PIT,2,15,7600,19.87
43,Cooper Kupp,LAR,WR,6,NYG,27,13,7900,19.79
44,Tyreek Hill,KC,WR,16,PIT,20,18,8400,19.77
45,Justin Jefferson,MIN,WR,18,CHI,17,21,8100,19.72
46,Cooper Kupp,LAR,WR,5,SEA,30,22,7900,19.67
47,Stefon Diggs,BUF,WR,2,MIA,11,5,7700,19.56
48,Stefon Diggs,BUF,WR,8,MIA,31,30,8100,19.44
49,Stefon Diggs,BUF,WR,11,IND,19,29,7900,19.37
50,Cooper Kupp,LAR,WR,3,TB,24,28,6800,19.34
51,DeAndre Hopkins,ARI,WR,1,TEN,27,29,7800,19.32
52,Stefon Diggs,BUF,WR,9,JAX,26,24,7700,19.29
53,Calvin Ridley,ATL,WR,1,PHI,21,25,7900,19.26
54,DeAndre Hopkins,ARI,WR,2,MIN,18,24,8000,19.25
55,Stefon Diggs,BUF,WR,4,HOU,15,9,7600,19.22
56,Justin Jefferson,MIN,WR,5,DET,27,14,7700,19.16
57,Keenan Allen,LAC,WR,16,HOU,27,20,7700,19.13
58,Deebo Samuel,SF,WR,11,JAX,17,16,7800,19.05
59,Stefon Diggs,BUF,WR,14,TB,9,13,8100,19.04
60,Stefon Diggs,BUF,WR,6,TEN,24,32,7400,18.99
61,Stefon Diggs,BUF,WR,3,WAS,19,23,7600,18.96
62,Justin Jefferson,MIN,WR,13,DET,29,12,8200,18.85
63,Stefon Diggs,BUF,WR,5,KC,31,26,7500,18.72
64,Chris Godwin,TB,WR,15,NO,8,25,7600,18.7
65,Davante Adams,GB,WR,9,KC,27,16,8200,18.69
66,Ja'Marr Chase,CIN,WR,8,NYJ,28,4,7500,18.66
66,Justin Jefferson,MIN,WR,8,DAL,22,28,8200,18.66
68,Tyreek Hill,KC,WR,15,LAC,19,2,8300,18.63
68,Stefon Diggs,BUF,WR,17,ATL,26,28,7900,18.63
70,Justin Jefferson,MIN,WR,16,LAR,6,9,8100,18.62
71,A.J. Brown,TEN,WR,10,NO,8,30,7800,18.4
72,Justin Jefferson,MIN,WR,12,SF,7,7,8300,18.34
72,Stefon Diggs,BUF,WR,10,NYJ,32,8,7500,18.34
74,A.J. Brown,TEN,WR,11,HOU,30,21,7700,18.32
75,Tyler Lockett,SEA,WR,3,MIN,29,31,7400,18.29
76,CeeDee Lamb,DAL,WR,11,KC,24,20,7600,18.26
76,Antonio Brown,TB,WR,17,NYJ,32,9,6100,18.26
78,Tyreek Hill,KC,WR,17,CIN,18,16,8300,18.23
79,A.J. Brown,TEN,WR,1,ARI,15,11,7100,18.12
80,Calvin Ridley,ATL,WR,4,WAS,32,29,7000,18.11
81,Deebo Samuel,SF,WR,12,MIN,28,31,7900,18.06
82,Justin Jefferson,MIN,WR,4,CLE,6,6,7300,18.04
83,Tyreek Hill,KC,WR,18,DEN,3,8,8000,18.02
83,CeeDee Lamb,DAL,WR,3,PHI,4,1,6500,18.02
85,Mike Evans,TB,WR,10,WAS,31,31,6900,18.01
85,Justin Jefferson,MIN,WR,3,SEA,21,13,7200,18.01
87,DJ Moore,CAR,WR,5,PHI,17,16,7500,17.99
88,Calvin Ridley,ATL,WR,3,NYG,25,16,7000,17.96
89,A.J. Brown,TEN,WR,8,IND,13,26,6900,17.9
89,Diontae Johnson,PIT,WR,15,TEN,18,31,7500,17.9
91,Stefon Diggs,BUF,WR,18,NYJ,32,13,7800,17.88
92,Terry McLaurin,WAS,WR,6,KC,32,25,7100,17.86
92,Keenan Allen,LAC,WR,4,LV,10,12,6800,17.86
94,Justin Jefferson,MIN,WR,1,CIN,23,17,7700,17.85
95,Deebo Samuel,SF,WR,17,HOU,29,20,8700,17.8
95,Deebo Samuel,SF,WR,8,CHI,18,29,7400,17.8
95,DJ Moore,CAR,WR,7,NYG,29,22,7100,17.8
98,Keenan Allen,LAC,WR,2,DAL,23,27,7000,17.74
99,Stefon Diggs,BUF,WR,15,CAR,4,5,7700,17.72
100,DK Metcalf,SEA,WR,2,TEN,31,32,7600,17.69
100,DK Metcalf,SEA,WR,3,MIN,29,31,7300,17.69
102,Chris Godwin,TB,WR,11,NYG,20,17,6700,17.65
103,Keenan Allen,LAC,WR,11,PIT,8,19,6900,17.64
104,Justin Jefferson,MIN,WR,17,GB,13,15,8400,17.63
105,A.J. Brown,TEN,WR,9,LAR,11,8,7500,17.62
106,Ja'Marr Chase,CIN,WR,11,LV,22,6,7200,17.61
106,Calvin Ridley,ATL,WR,2,TB,28,31,7500,17.61
106,Keenan Allen,LAC,WR,13,CIN,8,8,7500,17.61
109,Ja'Marr Chase,CIN,WR,9,CLE,10,20,7600,17.57
110,DK Metcalf,SEA,WR,4,SF,20,15,7200,17.56
110,DJ Moore,CAR,WR,6,MIN,18,18,7300,17.56
112,Stefon Diggs,BUF,WR,12,NO,9,26,7900,17.52
113,Justin Jefferson,MIN,WR,6,CAR,3,6,8000,17.49
114,DK Metcalf,SEA,WR,1,IND,7,18,7500,17.47
114,Keenan Allen,LAC,WR,10,MIN,25,27,7000,17.47
116,Deebo Samuel,SF,WR,7,IND,21,26,7300,17.46
116,Keenan Allen,LAC,WR,15,KC,11,10,7500,17.46
118,Amari Cooper,DAL,WR,2,LAC,4,2,6800,17.45
119,Keenan Allen,LAC,WR,3,KC,26,18,6600,17.44
120,Chris Godwin,TB,WR,12,IND,16,28,7000,17.41
121,A.J. Brown,TEN,WR,2,SEA,12,15,6900,17.4
122,Diontae Johnson,PIT,WR,14,MIN,31,32,7100,17.31
123,Justin Jefferson,MIN,WR,2,ARI,3,8,7400,17.29
123,Stefon Diggs,BUF,WR,13,NE,2,5,8000,17.29
125,CeeDee Lamb,DAL,WR,4,CAR,2,7,6700,17.27
126,Mike Williams,LAC,WR,6,BAL,21,9,8100,17.25
127,Keenan Allen,LAC,WR,5,CLE,4,6,6500,17.24
128,Keenan Allen,LAC,WR,12,DEN,5,17,7400,17.23
129,Deebo Samuel,SF,WR,10,LAR,8,8,7400,17.22
130,A.J. Brown,TEN,WR,17,MIA,12,25,7200,17.21
131,Diontae Johnson,PIT,WR,9,CHI,23,31,6700,17.2
132,DJ Moore,CAR,WR,4,DAL,17,24,6600,17.18
133,Calvin Ridley,ATL,WR,7,MIA,31,30,6600,17.14
134,Justin Jefferson,MIN,WR,11,GB,5,5,8100,17.12
135,Chris Godwin,TB,WR,8,NO,3,22,6400,17.1
136,Mike Evans,TB,WR,11,NYG,20,17,7000,17.09
137,DJ Moore,CAR,WR,8,ATL,25,24,7200,17.07
137,Keenan Allen,LAC,WR,17,DEN,3,8,7500,17.07
139,Deebo Samuel,SF,WR,18,LAR,8,7,8500,17.06
140,Chris Godwin,TB,WR,14,BUF,1,1,7100,17.04
141,Diontae Johnson,PIT,WR,16,KC,17,12,7500,17.03
142,Amari Cooper,DAL,WR,3,PHI,4,1,6300,17.02
143,Antonio Brown,TB,WR,16,CAR,4,6,4900,17.01
144,Hunter Renfrow,LV,WR,15,CLE,12,10,15600,17
145,DeAndre Hopkins,ARI,WR,7,HOU,24,5,7700,16.97
145,A.J. Brown,TEN,WR,18,HOU,28,23,7000,16.97
147,Justin Jefferson,MIN,WR,9,BAL,25,10,7500,16.95
148,Adam Thielen,MIN,WR,3,SEA,21,13,6700,16.94
149,Tyler Lockett,SEA,WR,2,TEN,31,32,7200,16.91
150,Terry McLaurin,WAS,WR,4,ATL,25,22,6900,16.9
151,DeAndre Hopkins,ARI,WR,5,SF,19,17,7600,16.87
152,Mike Williams,LAC,WR,4,LV,10,12,7200,16.86
153,Deebo Samuel,SF,WR,5,ARI,9,25,7100,16.85
154,Chris Godwin,TB,WR,7,CHI,9,21,5900,16.84
155,Deebo Samuel,SF,WR,15,ATL,28,26,8200,16.83
156,Chris Godwin,TB,WR,13,ATL,26,23,6600,16.82
157,CeeDee Lamb,DAL,WR,2,LAC,4,2,6400,16.79
157,Chris Godwin,TB,WR,2,ATL,24,17,6600,16.79
159,Deebo Samuel,SF,WR,9,ARI,2,18,7800,16.78
159,Tyler Lockett,SEA,WR,4,SF,20,15,7100,16.78
161,DeAndre Hopkins,ARI,WR,3,JAX,27,21,8200,16.75
162,Mike Evans,TB,WR,15,NO,8,25,7200,16.73
163,Diontae Johnson,PIT,WR,8,CLE,11,23,6700,16.71
164,Cooper Kupp,LAR,WR,2,IND,21,28,6000,16.7
165,Ja'Marr Chase,CIN,WR,4,JAX,26,21,5900,16.69
165,Mike Williams,LAC,WR,8,NE,7,20,7700,16.69
165,Keenan Allen,LAC,WR,18,LV,20,2,7500,16.69
168,Chris Godwin,TB,WR,4,NE,4,5,6300,16.68
169,DK Metcalf,SEA,WR,5,LAR,20,16,7000,16.67
170,Diontae Johnson,PIT,WR,10,DET,30,17,6800,16.65
171,Michael Pittman Jr.,IND,WR,9,NYJ,29,6,6000,16.62
172,CeeDee Lamb,DAL,WR,9,DEN,3,11,7200,16.61
173,A.J. Brown,TEN,WR,3,IND,23,30,6500,16.58
174,Justin Jefferson,MIN,WR,10,LAC,13,2,7700,16.56
175,DJ Moore,CAR,WR,3,HOU,15,9,5900,16.54
176,DK Metcalf,SEA,WR,10,GB,6,6,6800,16.53
176,Michael Pittman Jr.,IND,WR,10,JAX,22,23,6300,16.53
176,Keenan Allen,LAC,WR,1,WAS,3,2,6900,16.53
179,Adam Thielen,MIN,WR,13,DET,29,12,7300,16.52
180,DeAndre Hopkins,ARI,WR,8,GB,8,12,7400,16.51
180,Diontae Johnson,PIT,WR,6,SEA,29,26,6700,16.51
182,Mike Evans,TB,WR,7,CHI,9,21,6500,16.5
