Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Alvin Kamara,NO,RB,16,MIN,22,155,7,6,5,3,17,0,0,0,59.2,59.2
2,Dalvin Cook,MIN,RB,8,GB,30,163,5.4,3,3,2,63,1,0,0,51.6,51.6
3,Aaron Jones,GB,RB,2,DET,18,168,9.3,2,8,4,68,1,0,0,48.6,48.6
4,Alvin Kamara,NO,RB,3,GB,6,58,9.7,0,14,13,139,2,0,0,47.7,47.7
5,Joe Mixon,CIN,RB,4,JAX,25,151,6,2,6,6,30,1,0,0,45.1,45.1
6,Derrick Henry,TEN,RB,6,HOU,22,212,9.6,2,5,2,52,0,0,0,43.4,43.4
7,Dalvin Cook,MIN,RB,9,DET,22,206,9.4,2,2,2,46,0,0,0,42.2,42.2
8,Derrick Henry,TEN,RB,12,IND,27,178,6.6,3,4,2,7,0,0,0,41.5,41.5
9,Jonathan Taylor,IND,RB,17,JAX,30,253,8.4,2,2,1,1,0,0,0,41.4,41.4
10,Antonio Gibson,WAS,RB,12,DAL,20,115,5.8,3,7,5,21,0,0,0,39.6,39.6
11,Derrick Henry,TEN,RB,14,JAX,26,215,8.3,2,2,2,7,0,0,0,39.2,39.2
12,Derrick Henry,TEN,RB,17,HOU,34,250,7.4,2,0,0,0,0,2,1,39,39
13,Alvin Kamara,NO,RB,2,LV,13,79,6.1,2,9,9,95,0,0,0,38.4,38.4
14,Christian McCaffrey,CAR,RB,9,KC,18,69,3.8,1,10,10,82,1,0,0,37.1,37.1
15,Josh Jacobs,LV,RB,1,CAR,25,93,3.7,3,6,4,46,0,0,0,35.9,35.9
16,Jeff Wilson Jr.,SF,RB,7,NE,17,112,6.6,3,2,2,8,0,0,0,35,35
17,Rex Burkhead,NE,RB,3,LV,6,49,8.2,2,10,7,49,1,0,0,34.8,34.8
17,Alvin Kamara,NO,RB,10,SF,8,15,1.9,2,8,7,83,1,0,0,34.8,34.8
19,James Robinson,JAX,RB,7,LAC,22,119,5.4,1,6,4,18,1,0,0,34.7,34.7
20,Myles Gaskin,MIA,RB,16,LV,14,87,6.2,0,5,5,82,2,0,0,33.9,33.9
21,Jonathan Taylor,IND,RB,14,LV,20,150,7.5,2,2,2,15,0,0,0,33.5,33.5
22,Josh Jacobs,LV,RB,10,DEN,21,112,5.3,2,4,4,24,0,0,0,32.6,32.6
22,Miles Sanders,PHI,RB,14,NO,14,115,8.2,2,5,4,21,0,0,0,32.6,32.6
24,David Montgomery,CHI,RB,15,MIN,32,146,4.6,2,2,1,16,0,0,0,32.2,32.2
25,David Johnson,HOU,RB,16,CIN,12,128,10.7,1,3,3,11,1,0,0,31.9,31.9
26,Dalvin Cook,MIN,RB,4,HOU,27,130,4.8,2,2,2,16,0,0,0,31.6,31.6
27,Kenyan Drake,ARI,RB,6,DAL,20,164,8.2,2,2,0,0,0,0,0,31.4,31.4
28,Austin Ekeler,LAC,RB,3,CAR,12,59,4.9,1,11,11,84,0,0,0,31.3,31.3
29,Tony Pollard,DAL,RB,15,SF,12,69,5.8,2,9,6,63,0,0,0,31.2,31.2
30,J.K. Dobbins,BAL,RB,17,CIN,13,160,12.3,2,0,0,0,0,0,0,31,31
31,James Robinson,JAX,RB,3,MIA,11,46,4.2,2,6,6,83,0,0,0,30.9,30.9
32,Leonard Fournette,TB,RB,2,CAR,12,103,8.6,2,5,4,13,0,0,0,30.6,30.6
33,Jeff Wilson Jr.,SF,RB,16,ARI,22,183,8.3,0,2,1,21,1,0,0,30.4,30.4
34,D'Andre Swift,DET,RB,6,JAX,14,116,8.3,2,4,3,7,0,0,0,30.3,30.3
35,Derrick Henry,TEN,RB,3,MIN,26,119,4.6,2,3,2,11,0,0,0,30,30
35,Darwin Thompson,KC,RB,17,LAC,14,45,3.2,1,7,7,65,1,1,0,30,30
37,Dalvin Cook,MIN,RB,3,TEN,22,181,8.2,1,5,2,18,0,1,1,29.9,29.9
37,James Robinson,JAX,RB,12,CLE,22,128,5.8,1,6,5,31,0,1,0,29.9,29.9
37,Dalvin Cook,MIN,RB,15,CHI,24,132,5.5,1,5,5,27,0,0,0,29.9,29.9
37,Mike Davis,CAR,RB,5,ATL,16,89,5.6,0,10,9,60,1,0,0,29.9,29.9
41,Samaje Perine,CIN,RB,16,HOU,13,95,7.3,2,4,4,41,0,0,0,29.6,29.6
41,Nick Chubb,CLE,RB,12,JAX,19,144,7.6,1,3,3,32,0,0,0,29.6,29.6
43,Alexander Mattison,MIN,RB,17,DET,21,95,4.5,1,3,3,50,1,0,0,29.5,29.5
44,Nick Chubb,CLE,RB,2,CIN,22,124,5.6,2,1,1,9,0,0,0,29.3,29.3
45,Ronald Jones,TB,RB,6,GB,23,113,4.9,2,2,2,8,0,0,0,29.1,29.1
46,Kareem Hunt,CLE,RB,14,BAL,6,33,5.5,1,7,6,77,1,1,0,29,29
46,Dalvin Cook,MIN,RB,11,DAL,27,115,4.3,1,5,5,45,0,1,1,29,29
48,AJ Dillon,GB,RB,16,TEN,21,124,5.9,2,1,1,5,0,0,0,28.9,28.9
49,Ronald Jones,TB,RB,10,CAR,23,192,8.3,1,2,1,6,0,1,1,28.8,28.8
49,Melvin Gordon III,DEN,RB,4,NYJ,23,107,4.7,2,3,2,11,0,0,0,28.8,28.8
51,Latavius Murray,NO,RB,12,DEN,19,124,6.5,2,1,1,2,0,1,0,28.6,28.6
52,Christian McCaffrey,CAR,RB,1,LV,23,97,4.2,2,4,3,38,0,0,0,28.5,28.5
52,Nyheim Hines,IND,RB,10,TEN,12,70,5.8,1,6,5,45,1,0,0,28.5,28.5
54,David Montgomery,CHI,RB,12,GB,11,103,9.4,0,6,5,40,1,0,0,28.3,28.3
55,Derrick Henry,TEN,RB,15,DET,24,147,6.1,1,2,2,5,0,0,0,28.2,28.2
55,David Montgomery,CHI,RB,17,GB,22,69,3.1,1,9,9,63,0,0,0,28.2,28.2
57,Todd Gurley II,ATL,RB,5,CAR,14,121,8.6,1,5,4,29,0,0,0,28,28
58,James Conner,PIT,RB,3,HOU,18,109,6.1,1,5,4,40,0,0,0,27.9,27.9
59,Aaron Jones,GB,RB,15,CAR,20,145,7.2,1,4,3,13,0,0,0,27.8,27.8
60,Ezekiel Elliott,DAL,RB,1,LAR,22,96,4.4,1,4,3,31,1,0,0,27.7,27.7
61,David Montgomery,CHI,RB,14,HOU,11,113,10.3,1,4,3,42,0,0,0,27.5,27.5
62,Nyheim Hines,IND,RB,1,JAX,7,28,4,1,8,8,45,1,0,0,27.3,27.3
62,David Johnson,HOU,RB,15,IND,8,27,3.4,0,11,11,106,0,1,0,27.3,27.3
64,David Montgomery,CHI,RB,13,DET,17,72,4.2,2,4,4,39,0,0,0,27.1,27.1
65,Nick Chubb,CLE,RB,3,WAS,19,108,5.7,2,1,1,2,0,0,0,27,27
66,Dalvin Cook,MIN,RB,13,JAX,32,120,3.8,0,9,6,59,0,0,0,26.9,26.9
67,Aaron Jones,GB,RB,13,PHI,15,130,8.7,1,3,3,18,0,0,0,26.8,26.8
68,Mike Davis,CAR,RB,14,DEN,11,51,4.6,2,6,5,42,0,0,0,26.3,26.3
69,Malcolm Brown,LAR,RB,1,DAL,18,79,4.4,2,4,3,31,0,0,0,26,26
70,D'Andre Swift,DET,RB,10,WAS,16,81,5.1,0,5,5,68,1,0,0,25.9,25.9
71,J.D. McKissic,WAS,RB,15,SEA,13,51,3.9,0,10,9,56,1,0,0,25.7,25.7
72,Alvin Kamara,NO,RB,8,CHI,12,67,5.6,0,13,9,96,0,1,0,25.3,25.3
73,Raheem Mostert,SF,RB,1,ARI,15,56,3.7,0,5,4,95,1,0,0,25.1,25.1
