Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,T.J. Hockenson,DET,TE,4,SEA,12,8,66.7,179,2,81,14.9,22.4,0,0,0,0,0,0,42.9,42.9
2,Evan Engram,JAX,TE,14,TEN,15,11,73.3,162,2,25,10.8,14.7,0,0,0,0,0,0,42.2,42.2
3,T.J. Hockenson,MIN,TE,16,NYG,16,13,81.2,109,2,16,6.8,8.4,0,0,0,0,0,0,38.9,38.9
4,Travis Kelce,KC,TE,11,LAC,10,6,60,115,3,34,11.5,19.2,0,0,0,0,0,0,38.5,38.5
5,Taysom Hill,NO,TE,5,SEA,0,0,0,0,0,0,0,0,9,112,12.4,3,1,0,37.1,37.08
6,Travis Kelce,KC,TE,5,LV,8,7,87.5,25,4,8,3.1,3.6,0,0,0,0,0,0,33.5,33.5
7,George Kittle,SF,TE,16,WAS,8,6,75,120,2,34,15,20,0,0,0,0,0,0,33,33
8,Tyler Higbee,LAR,TE,16,DEN,11,9,81.8,94,2,21,8.5,10.4,0,0,0,0,0,0,30.4,30.4
9,Travis Kelce,KC,TE,1,ARI,9,8,88.9,121,1,35,13.4,15.1,0,0,0,0,0,0,29.1,29.1
10,Mark Andrews,BAL,TE,3,NE,13,8,61.5,89,2,25,6.8,11.1,0,0,0,0,0,0,28.9,28.9
11,Mark Andrews,BAL,TE,2,MIA,11,9,81.8,104,1,25,9.5,11.6,1,3,3,0,0,0,28.7,28.7
12,Dallas Goedert,PHI,TE,9,HOU,9,8,88.9,100,1,21,11.1,12.5,0,0,0,0,0,0,27,27
13,Mark Andrews,BAL,TE,6,NYG,11,7,63.6,106,1,18,9.6,15.1,0,0,0,0,0,0,26.6,26.6
14,Mo Alie-Cox,IND,TE,4,TEN,6,6,100,85,2,34,14.2,14.2,0,0,0,0,0,0,26.5,26.5
15,Tyler Conklin,NYJ,TE,8,NE,10,6,60,79,2,27,7.9,13.2,0,0,0,0,0,0,25.9,25.9
16,Shane Zylstra,DET,TE,16,CAR,6,5,83.3,26,3,10,4.3,5.2,0,0,0,0,0,0,25.6,25.6
17,George Kittle,SF,TE,15,SEA,5,4,80,93,2,54,18.6,23.2,0,0,0,0,0,0,25.3,25.3
18,Jordan Akins,HOU,TE,18,IND,8,4,50,70,2,28,8.8,17.5,0,0,0,0,0,0,25,25
19,Mike Gesicki,MIA,TE,6,MIN,7,6,85.7,69,2,18,9.9,11.5,0,0,0,0,0,0,24.9,24.9
20,Dalton Schultz,DAL,TE,17,TEN,10,7,70,56,2,13,5.6,8,0,0,0,0,0,0,24.6,24.6
