Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Cooper Kupp,LAR,WR,17,BAL,27,29,10200,20.48
 Davante Adams,GB,WR,7,WAS,32,31,9000,19.8
 Cooper Kupp,LAR,WR,18,SF,7,22,10000,19.74
 Cooper Kupp,LAR,WR,16,MIN,31,32,9800,19.63
 Cooper Kupp,LAR,WR,9,TEN,23,32,9400,19.58
 Cooper Kupp,LAR,WR,15,SEA,25,6,9500,19.5
 Cooper Kupp,LAR,WR,13,JAX,20,19,9000,19.29
 Davante Adams,GB,WR,2,DET,28,26,8300,19.15
 Davante Adams,GB,WR,17,MIN,30,32,8700,19.04
 Davante Adams,GB,WR,15,BAL,17,18,8500,18.72
 Cooper Kupp,LAR,WR,8,HOU,26,6,9200,18.63
 Davante Adams,GB,WR,6,CHI,8,24,8500,18.49
 Davante Adams,GB,WR,1,NO,6,16,8600,18.44
 Davante Adams,GB,WR,4,PIT,14,26,8100,18.42
 Cooper Kupp,LAR,WR,10,SF,15,10,9500,18.42
 Tyreek Hill,KC,WR,2,BAL,32,21,8700,18.37
 Cooper Kupp,LAR,WR,12,GB,6,9,9500,18.31
 Justin Jefferson,MIN,WR,14,PIT,22,23,8500,18.23
 Tyreek Hill,KC,WR,7,TEN,25,32,8500,18.16
 Cooper Kupp,LAR,WR,14,ARI,3,13,9000,18.15
 Tyreek Hill,KC,WR,1,CLE,20,26,8500,18.04
 Tyreek Hill,KC,WR,3,LAC,7,1,8700,18.01
 Davante Adams,GB,WR,11,MIN,21,26,8400,17.9
 Tyreek Hill,KC,WR,6,WAS,31,28,8700,17.75
 Davante Adams,GB,WR,16,CLE,13,10,8800,17.72
 Justin Jefferson,MIN,WR,15,CHI,25,29,8800,17.7
 Tyreek Hill,KC,WR,4,PHI,8,2,8200,17.68
 Davante Adams,GB,WR,10,SEA,19,11,8700,17.65
 Davante Adams,GB,WR,3,SF,16,5,8200,17.59
 Davante Adams,GB,WR,14,CHI,17,23,8400,17.58
 Cooper Kupp,LAR,WR,4,ARI,9,23,8600,17.51
 Tyreek Hill,KC,WR,11,DAL,10,23,8500,17.46
 Tyreek Hill,KC,WR,8,NYG,22,17,8200,17.39
 Cooper Kupp,LAR,WR,7,DET,26,9,8800,17.37
 Davante Adams,GB,WR,12,LAR,9,10,8700,17.3
 Tyreek Hill,KC,WR,9,GB,7,7,8500,17.29
 Davante Adams,GB,WR,5,CIN,6,15,8200,17.17
 Tyreek Hill,KC,WR,13,DEN,5,13,8500,17.06
 Tyreek Hill,KC,WR,5,BUF,1,1,8500,16.98
 Tyreek Hill,KC,WR,10,LV,10,3,8400,16.89
 Tyreek Hill,KC,WR,14,LV,25,4,8700,16.57
 Justin Jefferson,MIN,WR,18,CHI,17,21,8500,16.37
 Tyreek Hill,KC,WR,16,PIT,20,18,8700,16.27
 Stefon Diggs,BUF,WR,1,PIT,2,15,7900,16.27
 Cooper Kupp,LAR,WR,6,NYG,27,13,8200,16.24
 Calvin Ridley,ATL,WR,1,PHI,21,25,8100,16.11
 Deebo Samuel,SF,WR,11,JAX,17,16,7600,16.1
 Justin Jefferson,MIN,WR,5,DET,27,14,8000,16.06
 Cooper Kupp,LAR,WR,5,SEA,30,22,8400,16.02
 Stefon Diggs,BUF,WR,8,MIA,31,30,7300,15.99
 Ja'Marr Chase,CIN,WR,8,NYJ,28,4,8200,15.91
 Stefon Diggs,BUF,WR,11,IND,19,29,8100,15.87
 DeAndre Hopkins,ARI,WR,2,MIN,18,24,8500,15.85
 Justin Jefferson,MIN,WR,13,DET,29,12,8000,15.8
 Stefon Diggs,BUF,WR,4,HOU,15,9,8000,15.77
 Stefon Diggs,BUF,WR,2,MIA,11,5,7500,15.76
 DeAndre Hopkins,ARI,WR,1,TEN,27,29,8200,15.72
 Stefon Diggs,BUF,WR,9,JAX,26,24,7600,15.69
 Cooper Kupp,LAR,WR,3,TB,24,28,7900,15.69
 Stefon Diggs,BUF,WR,6,TEN,24,32,7600,15.64
 Deebo Samuel,SF,WR,12,MIN,28,31,8000,15.61
 Tyreek Hill,KC,WR,15,LAC,19,2,8300,15.58
 Justin Jefferson,MIN,WR,8,DAL,22,28,7700,15.56
 Deebo Samuel,SF,WR,17,HOU,29,20,9000,15.55
 Justin Jefferson,MIN,WR,16,LAR,6,9,8400,15.47
 Stefon Diggs,BUF,WR,14,TB,9,13,8200,15.44
 Keenan Allen,LAC,WR,16,HOU,27,20,7700,15.43
 A.J. Brown,TEN,WR,10,NO,8,30,7600,15.4
 Justin Jefferson,MIN,WR,12,SF,7,7,8100,15.39
 A.J. Brown,TEN,WR,11,HOU,30,21,7200,15.37
 A.J. Brown,TEN,WR,1,ARI,15,11,7800,15.32
 Stefon Diggs,BUF,WR,17,ATL,26,28,8000,15.28
 CeeDee Lamb,DAL,WR,11,KC,24,20,8000,15.26
 Davante Adams,GB,WR,9,KC,27,16,9000,15.24
 Stefon Diggs,BUF,WR,3,WAS,19,23,7700,15.21
 Mike Evans,TB,WR,10,WAS,31,31,7400,15.16
 Tyler Lockett,SEA,WR,3,MIN,29,31,8000,15.14
 Tyreek Hill,KC,WR,17,CIN,18,16,8200,15.13
 Stefon Diggs,BUF,WR,5,KC,31,26,8100,15.12
 Justin Jefferson,MIN,WR,3,SEA,21,13,7400,15.11
 Chris Godwin,TB,WR,15,NO,8,25,8000,15.1
 Justin Jefferson,MIN,WR,4,CLE,6,6,7800,15.09
 Stefon Diggs,BUF,WR,10,NYJ,32,8,7900,15.09
 Antonio Brown,TB,WR,17,NYJ,32,9,8500,15.01
 A.J. Brown,TEN,WR,8,IND,13,26,7600,15
 Tyreek Hill,KC,WR,18,DEN,3,8,8200,14.97
 Calvin Ridley,ATL,WR,4,WAS,32,29,7200,14.96
 DK Metcalf,SEA,WR,2,TEN,31,32,7000,14.94
 Ja'Marr Chase,CIN,WR,9,CLE,10,20,7900,14.92
 Justin Jefferson,MIN,WR,1,CIN,23,17,8000,14.9
 DJ Moore,CAR,WR,5,PHI,17,16,7900,14.89
 Deebo Samuel,SF,WR,15,ATL,28,26,8200,14.88
 CeeDee Lamb,DAL,WR,3,PHI,4,1,7000,14.87
 Ja'Marr Chase,CIN,WR,11,LV,22,6,7700,14.86
