team,pos,wk,opp,TFL,SCK,QB HIT,INT,FR,SFTY,DEF TD,RETURN TD,PTS ALLOWED,FPTS/G,FPTS
CLE,DST,13,HOU,2,0,2,2,2,0,2,1,12,30,30
TB,DST,2,NO,3,6,9,3,2,0,1,0,10,26,26
NE,DST,9,IND,8,9,12,1,0,0,1,0,3,26,26
DAL,DST,7,DET,5,5,5,2,4,0,0,0,6,24,24
PIT,DST,1,CIN,9,7,11,4,1,0,1,0,20,24,24
GB,DST,17,MIN,3,2,8,3,1,0,1,1,17,23,23
IND,DST,15,MIN,8,7,11,2,1,0,1,1,39,23,23
DAL,DST,5,LAR,6,5,11,1,2,0,1,0,10,23,23
NE,DST,5,DET,3,2,6,1,1,0,1,0,0,22,22
JAX,DST,2,IND,5,5,11,3,0,0,0,0,0,21,21
LAR,DST,16,DEN,6,6,12,4,0,0,1,0,14,21,21
SF,DST,4,LAR,9,7,11,1,1,0,1,0,9,21,21
NE,DST,14,ARI,6,6,9,1,1,0,1,0,13,20,20
BUF,DST,2,TEN,8,2,3,2,2,0,1,0,7,20,20
DAL,DST,13,IND,6,3,7,3,2,0,1,0,19,20,20
LAC,DST,16,IND,7,7,9,3,0,0,0,0,3,20,20
NYJ,DST,6,GB,5,4,9,0,1,0,0,1,10,20,20
WAS,DST,11,HOU,9,5,9,2,0,0,1,0,10,19,19
TEN,DST,7,IND,5,3,10,2,1,0,1,0,10,19,19
CIN,DST,18,BAL,3,4,7,2,2,0,1,0,16,19,19
BUF,DST,18,NE,3,1,4,3,0,0,0,2,23,19,19
PHI,DST,3,WAS,8,9,17,0,1,0,0,0,6,18,18
CIN,DST,3,NYJ,6,4,10,2,3,0,0,0,12,18,18
MIA,DST,12,HOU,7,5,8,2,1,0,1,0,15,18,18
SF,DST,13,MIA,2,3,5,3,1,0,1,0,17,18,18
NO,DST,17,PHI,4,6,8,1,0,0,1,0,10,18,18
WAS,DST,18,DAL,3,1,4,1,1,0,1,0,6,18,18
MIA,DST,1,NE,4,2,3,1,2,0,1,0,7,18,18
NYG,DST,15,WAS,4,3,8,0,2,0,1,0,12,17,17
SEA,DST,6,ARI,10,6,7,1,1,0,0,0,3,17,17
BAL,DST,11,CAR,6,4,7,2,1,0,0,0,3,17,17
NE,DST,11,NYJ,8,4,6,0,0,0,0,1,3,17,17
ARI,DST,7,NO,4,0,3,3,0,0,2,0,34,17,17
JAX,DST,17,HOU,2,2,12,0,1,0,1,0,3,17,17
SEA,DST,17,NYJ,6,4,10,2,1,0,0,0,6,17,17
BUF,DST,1,LAR,7,7,16,3,0,0,0,0,10,17,17
DEN,DST,3,SF,5,4,6,1,2,1,0,0,10,16,16
DAL,DST,11,MIN,8,7,13,0,1,0,0,0,3,16,16
NO,DST,8,LV,8,4,10,1,0,0,0,0,0,16,16
NYG,DST,4,CHI,6,6,9,0,3,0,0,0,12,16,16
CLE,DST,15,BAL,5,3,6,1,1,0,0,0,3,16,16
CAR,DST,3,NO,3,1,6,2,1,0,1,0,14,16,16
ATL,DST,2,LAR,3,1,2,2,1,1,0,1,31,16,16
IND,DST,5,DEN,4,4,8,2,1,0,0,0,9,16,16
KC,DST,14,DEN,7,6,11,2,0,0,1,0,28,15,15
MIN,DST,10,BUF,7,2,4,2,2,0,1,0,30,15,15
WAS,DST,10,PHI,1,1,1,1,3,0,1,0,21,15,15
SF,DST,12,NO,3,1,5,0,2,0,0,0,0,15,15
SF,DST,5,CAR,7,6,11,1,0,0,1,0,15,15,15
DET,DST,17,CHI,5,7,9,1,1,0,0,0,10,15,15
JAX,DST,18,TEN,8,4,13,1,1,0,1,0,16,15,15
IND,DST,18,HOU,6,1,6,2,2,0,1,0,26,15,15
SF,DST,18,ARI,4,3,7,3,1,0,0,0,13,15,15
PHI,DST,4,JAX,3,4,3,1,4,0,0,0,15,15,15
ARI,DST,6,SEA,9,5,7,0,1,0,1,0,19,14,14
JAX,DST,16,NYJ,8,3,7,1,1,0,0,0,3,14,14
NE,DST,16,CIN,5,2,2,2,1,0,1,0,22,14,14
DEN,DST,5,IND,7,6,12,2,0,0,0,0,12,14,14
BUF,DST,5,PIT,5,3,7,1,1,0,0,0,3,14,14
PHI,DST,8,PIT,7,6,11,1,1,0,0,0,13,14,14
NYG,DST,17,IND,4,2,4,1,0,0,1,0,10,14,14
KC,DST,18,LV,6,6,14,1,1,0,0,0,13,14,14
HOU,DST,18,IND,3,2,4,2,1,0,1,0,25,14,14
NYJ,DST,4,PIT,3,3,7,4,1,0,0,0,20,14,14
DET,DST,15,NYJ,7,4,10,1,0,0,0,1,17,13,13
WAS,DST,6,CHI,4,5,12,1,1,0,0,0,7,13,13
ATL,DST,6,SF,2,0,4,2,1,0,1,0,14,13,13
NE,DST,6,CLE,2,4,9,2,2,0,0,0,15,13,13
MIN,DST,6,MIA,8,6,13,2,1,0,0,0,16,13,13
PIT,DST,16,LV,6,3,5,3,0,0,0,0,10,13,13
SEA,DST,8,NYG,8,5,8,0,2,0,0,0,13,13,13
CLE,DST,8,CIN,4,5,7,1,1,0,0,0,13,13,13
KC,DST,7,SF,4,5,8,2,1,1,0,0,23,13,13
CLE,DST,17,WAS,6,3,6,3,0,0,0,0,10,13,13
LAC,DST,1,LV,5,6,9,3,0,0,0,0,19,13,13
TB,DST,1,DAL,7,4,8,1,0,0,0,0,3,13,13
BUF,DST,14,NYJ,7,4,8,0,2,0,0,0,10,12,12
JAX,DST,14,TEN,5,4,9,1,3,0,0,0,22,12,12
JAX,DST,15,DAL,7,3,9,2,0,0,1,0,34,12,12
TEN,DST,10,DEN,9,6,18,1,0,0,0,0,10,12,12
ATL,DST,11,CHI,9,4,5,1,0,0,0,1,24,12,12
SF,DST,2,SEA,7,2,9,2,1,0,0,0,7,12,12
PHI,DST,2,MIN,4,2,7,3,0,0,0,0,7,12,12
DEN,DST,13,BAL,6,4,5,2,0,0,0,0,10,12,12
MIA,DST,7,PIT,4,2,6,3,0,0,0,0,10,12,12
NE,DST,17,MIA,3,2,7,2,0,0,1,0,21,12,12
PIT,DST,18,CLE,6,7,10,2,0,0,0,0,14,12,12
MIN,DST,1,GB,3,4,5,1,1,0,0,0,7,12,12
ARI,DST,4,CAR,3,2,3,2,1,0,0,0,10,12,12
LAC,DST,13,LV,0,0,0,1,1,0,1,0,27,12,12
BAL,DST,7,CLE,5,5,5,0,2,0,0,0,20,12,12
ARI,DST,15,DEN,8,7,9,1,1,0,0,0,24,11,11
NE,DST,15,LV,1,3,5,1,0,0,1,0,24,11,11
GB,DST,15,LAR,6,5,9,1,0,0,0,0,12,11,11
DET,DST,9,GB,3,1,5,3,0,0,0,0,9,11,11
HOU,DST,3,CHI,6,5,9,2,1,0,0,0,23,11,11
BAL,DST,3,NE,5,3,4,3,1,0,0,0,26,11,11
GB,DST,3,TB,5,3,4,0,2,0,0,0,12,11,11
LAR,DST,6,CAR,2,2,3,1,0,0,0,0,4,11,11
CAR,DST,12,DEN,3,3,10,0,2,0,0,0,10,11,11
KC,DST,12,LAR,6,3,5,2,0,0,0,0,10,11,11
SF,DST,11,ARI,9,3,9,2,0,0,0,0,10,11,11
HOU,DST,16,TEN,8,4,6,2,1,0,0,0,14,11,11
GB,DST,16,MIA,2,2,6,3,1,0,0,0,20,11,11
HOU,DST,5,JAX,3,0,1,2,0,0,0,0,6,11,11
DAL,DST,8,CHI,7,4,5,0,1,0,1,0,29,11,11
BAL,DST,1,NYJ,3,3,10,1,1,0,0,0,9,11,11
CAR,DST,4,ARI,5,1,1,1,1,0,1,0,26,11,11
NE,DST,4,GB,1,1,3,1,1,0,1,0,27,11,11
LV,DST,4,DEN,7,3,4,0,1,0,1,0,23,11,11
BAL,DST,14,PIT,3,2,5,3,0,0,0,0,14,11,11
LV,DST,15,NE,2,0,5,0,1,0,1,0,18,11,11
SF,DST,14,TB,1,0,7,2,1,0,0,0,7,10,10
DEN,DST,15,ARI,2,3,7,3,0,0,0,0,15,10,10
NYJ,DST,9,BUF,3,5,8,2,0,0,0,0,17,10,10
BAL,DST,9,NO,5,4,7,1,0,0,0,0,13,10,10
PIT,DST,10,NO,2,2,2,2,0,0,0,0,10,10,10
DET,DST,10,CHI,4,3,4,1,0,0,1,0,30,10,10
CLE,DST,3,PIT,3,1,2,0,1,0,1,0,17,10,10
NYJ,DST,11,NE,8,6,8,0,0,0,0,0,10,10,10
KC,DST,2,LAC,4,2,8,1,0,0,1,0,24,10,10
PHI,DST,13,TEN,5,6,9,0,0,0,0,0,10,10,10
CIN,DST,16,NE,4,4,7,0,1,0,0,0,12,10,10
BUF,DST,16,CHI,11,2,4,1,1,0,0,0,13,10,10
PHI,DST,16,DAL,5,6,9,1,0,0,1,0,40,10,10
MIN,DST,8,ARI,8,4,6,2,1,0,0,0,26,10,10
LV,DST,7,HOU,3,1,9,1,0,0,1,0,20,10,10
