Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Christian McCaffrey,SF,RB,10,LAC,25,31,9200,20.49
 Austin Ekeler,LAC,RB,9,ATL,31,20,9400,19.96
 Jonathan Taylor,IND,RB,2,JAX,31,18,10000,19.83
 Jonathan Taylor,IND,RB,1,HOU,29,28,10200,19.57
 Christian McCaffrey,SF,RB,15,SEA,25,31,9400,19.39
 Saquon Barkley,NYG,RB,10,HOU,21,32,9500,19.25
 Josh Jacobs,LV,RB,13,LAC,25,30,9500,19.21
 Derrick Henry,TEN,RB,16,HOU,20,32,9800,18.97
 Jonathan Taylor,IND,RB,4,TEN,28,29,8700,18.93
 Saquon Barkley,NYG,RB,11,DET,32,27,9700,18.79
 Christian McCaffrey,CAR,RB,2,NYG,16,26,9000,18.79
 Christian McCaffrey,SF,RB,16,WAS,7,7,9400,18.51
 Austin Ekeler,LAC,RB,7,SEA,29,26,9500,18.49
 Derrick Henry,TEN,RB,8,HOU,23,32,10000,18.47
 Christian McCaffrey,CAR,RB,1,CLE,8,14,9500,18.33
 Austin Ekeler,LAC,RB,13,LV,29,26,9200,18.12
 Austin Ekeler,LAC,RB,12,ARI,30,21,8800,18.03
 Derrick Henry,TEN,RB,7,IND,14,24,9200,18.02
 Saquon Barkley,NYG,RB,6,BAL,23,10,8800,18.01
 Saquon Barkley,NYG,RB,4,CHI,11,25,8100,17.95
 Alvin Kamara,NO,RB,9,BAL,23,12,9000,17.86
 Jonathan Taylor,IND,RB,3,KC,25,20,9400,17.81
 Christian McCaffrey,SF,RB,18,ARI,29,28,10000,17.79
 Dalvin Cook,MIN,RB,3,DET,29,31,8300,17.75
 Austin Ekeler,LAC,RB,1,LV,22,27,9400,17.74
 Austin Ekeler,LAC,RB,10,SF,4,1,9000,17.73
 Derrick Henry,TEN,RB,11,GB,10,23,9400,17.67
 Saquon Barkley,NYG,RB,7,JAX,15,25,9300,17.67
 Christian McCaffrey,SF,RB,17,LV,25,24,9500,17.63
 Derrick Henry,TEN,RB,1,NYG,19,25,9700,17.61
 Saquon Barkley,NYG,RB,8,SEA,29,28,9500,17.57
 Derrick Henry,TEN,RB,10,DEN,1,13,9400,17.55
 Derrick Henry,TEN,RB,18,JAX,20,14,9500,17.53
 Derrick Henry,TEN,RB,12,CIN,11,15,9500,17.51
 Derrick Henry,TEN,RB,15,LAC,23,28,8900,17.46
 Christian McCaffrey,CAR,RB,3,NO,9,12,8500,17.36
 Josh Jacobs,LV,RB,14,LAR,17,9,9600,17.35
 Saquon Barkley,NYG,RB,5,GB,5,14,9000,17.27
 Christian McCaffrey,CAR,RB,4,ARI,29,21,8800,17.16
 Derrick Henry,TEN,RB,9,KC,31,19,9500,17.15
 Saquon Barkley,NYG,RB,2,CAR,18,29,8800,17.12
 Saquon Barkley,NYG,RB,3,DAL,11,8,8500,17.09
 Josh Jacobs,LV,RB,7,HOU,18,32,8600,17.01
 Christian McCaffrey,SF,RB,11,ARI,25,20,9400,16.97
 Derrick Henry,TEN,RB,5,WAS,30,13,8900,16.96
 Austin Ekeler,LAC,RB,11,KC,29,18,9100,16.96
 Austin Ekeler,LAC,RB,6,DEN,3,8,9000,16.89
 Christian McCaffrey,CAR,RB,5,SF,1,2,8700,16.83
 Christian McCaffrey,SF,RB,12,NO,17,13,9200,16.78
 Austin Ekeler,LAC,RB,15,TEN,27,3,8700,16.78
 Nick Chubb,CLE,RB,13,HOU,21,32,9600,16.73
 Josh Jacobs,LV,RB,15,NE,6,2,9200,16.73
 Nick Chubb,CLE,RB,5,LAC,25,29,9400,16.7
 Nick Chubb,CLE,RB,6,NE,14,6,9500,16.69
 Derrick Henry,TEN,RB,13,PHI,4,22,8800,16.69
 Josh Jacobs,LV,RB,8,NO,22,18,9000,16.67
 Austin Ekeler,LAC,RB,14,MIA,21,13,8800,16.61
 Austin Ekeler,LAC,RB,16,IND,16,27,8700,16.53
 Derrick Henry,TEN,RB,3,LV,26,23,8800,16.48
 Josh Jacobs,LV,RB,9,JAX,14,26,8800,16.42
 Josh Jacobs,LV,RB,16,PIT,21,14,9200,16.41
 Austin Ekeler,LAC,RB,5,CLE,16,25,9000,16.36
 Derrick Henry,TEN,RB,2,BUF,3,3,8800,16.35
 Austin Ekeler,LAC,RB,2,KC,14,19,8700,16.33
 Christian McCaffrey,CAR,RB,6,LAR,12,2,8700,16.31
 Christian McCaffrey,SF,RB,13,MIA,22,9,8200,16.3
 Christian McCaffrey,SF,RB,8,LAR,5,4,8500,16.24
 Kenneth Walker III,SEA,RB,12,LV,26,27,8400,16.23
 Joe Mixon,CIN,RB,3,NYJ,24,28,8200,16.22
 Alvin Kamara,NO,RB,10,PIT,31,19,8600,16.17
 Christian McCaffrey,SF,RB,14,TB,9,4,8500,16.17
 Nick Chubb,CLE,RB,4,ATL,27,7,9200,16.15
 Leonard Fournette,TB,RB,7,CAR,16,27,8400,16.13
 Rhamondre Stevenson,NE,RB,14,ARI,30,21,8400,16.13
 Rhamondre Stevenson,NE,RB,13,BUF,8,14,7600,16.12
 Travis Etienne Jr.,JAX,RB,10,KC,27,23,8000,16.08
 Travis Etienne Jr.,JAX,RB,9,LV,28,24,7600,16.05
 Joe Mixon,CIN,RB,1,PIT,21,26,8300,16.04
 Derrick Henry,TEN,RB,14,JAX,23,19,9000,15.98
 Aaron Jones,GB,RB,9,DET,32,30,7800,15.97
 Saquon Barkley,NYG,RB,12,DAL,5,6,8800,15.96
 Joe Mixon,CIN,RB,8,CLE,21,30,7800,15.93
 Josh Jacobs,LV,RB,11,DEN,1,9,8500,15.8
 Nick Chubb,CLE,RB,3,PIT,18,21,8800,15.71
 Jonathan Taylor,IND,RB,12,PIT,31,19,8800,15.71
 Dalvin Cook,MIN,RB,2,PHI,28,32,8300,15.7
 Leonard Fournette,TB,RB,3,GB,7,16,7200,15.7
 Joe Mixon,CIN,RB,2,DAL,12,17,8300,15.69
 Dalvin Cook,MIN,RB,1,GB,13,8,8400,15.69
 Joe Mixon,CIN,RB,7,ATL,25,11,7400,15.68
 Austin Ekeler,LAC,RB,3,JAX,6,10,8700,15.65
 Alvin Kamara,NO,RB,8,LV,28,13,7800,15.64
 Joe Mixon,CIN,RB,11,PIT,27,12,9000,15.62
 Austin Ekeler,LAC,RB,4,HOU,17,32,8400,15.6
 Jonathan Taylor,IND,RB,15,MIN,31,18,9000,15.59
 Jonathan Taylor,IND,RB,11,PHI,3,21,8700,15.57
 Derrick Henry,TEN,RB,4,IND,13,13,8600,15.56
 Nick Chubb,CLE,RB,8,CIN,6,2,8700,15.55
 Josh Jacobs,LV,RB,10,IND,7,17,8400,15.54
 Josh Jacobs,LV,RB,12,SEA,22,24,8700,15.54
 Alvin Kamara,NO,RB,6,CIN,9,4,8100,15.53
 Saquon Barkley,NYG,RB,17,IND,16,27,9200,15.52
 Austin Ekeler,LAC,RB,17,LAR,14,13,9000,15.52
 Joe Mixon,CIN,RB,4,MIA,25,9,7500,15.49
 Alvin Kamara,NO,RB,1,ATL,28,24,8500,15.46
 Rhamondre Stevenson,NE,RB,9,IND,9,17,8000,15.44
 Leonard Fournette,TB,RB,6,PIT,30,20,8500,15.39
 Alvin Kamara,NO,RB,7,ARI,16,15,7900,15.34
 Jonathan Taylor,IND,RB,8,WAS,17,24,8300,15.27
 Joe Mixon,CIN,RB,9,CAR,20,25,8100,15.27
 Dalvin Cook,MIN,RB,5,CHI,9,27,7300,15.26
 Dalvin Cook,MIN,RB,11,DAL,7,7,8300,15.09
 Nick Chubb,CLE,RB,10,MIA,26,12,9000,15.08
 Saquon Barkley,NYG,RB,16,MIN,31,19,8500,15.08
 Kenneth Walker III,SEA,RB,10,TB,12,5,8200,14.98
 Rhamondre Stevenson,NE,RB,6,CLE,20,30,7500,14.97
 Kenneth Walker III,SEA,RB,13,LAR,12,8,8100,14.95
 Dalvin Cook,MIN,RB,14,DET,32,17,8700,14.95
 Joe Mixon,CIN,RB,14,CLE,20,30,8500,14.95
 Dalvin Cook,MIN,RB,16,NYG,19,24,8700,14.91
 Dalvin Cook,MIN,RB,9,WAS,17,22,8500,14.89
 Alvin Kamara,NO,RB,11,LAR,9,10,7500,14.87
 Nick Chubb,CLE,RB,2,NYJ,14,7,8500,14.84
 Aaron Jones,GB,RB,4,NE,16,4,7300,14.84
 Dameon Pierce,HOU,RB,10,NYG,13,14,7700,14.8
 Leonard Fournette,TB,RB,5,ATL,26,11,7800,14.8
 Javonte Williams O,DEN,RB,2,HOU,26,27,7300,14.8
 Jonathan Taylor,IND,RB,13,DAL,5,8,8500,14.75
 Jonathan Taylor,IND,RB,7,TEN,30,8,8000,14.68
 Aaron Jones,GB,RB,2,CHI,3,4,6900,14.68
 Dalvin Cook,MIN,RB,6,MIA,27,21,8300,14.65
 Leonard Fournette,TB,RB,4,KC,21,16,7400,14.61
 Aaron Jones,GB,RB,6,NYJ,15,18,7300,14.6
 Dalvin Cook,MIN,RB,8,ARI,24,10,8200,14.55
 Saquon Barkley,NYG,RB,13,WAS,9,6,8600,14.52
 Dalvin Cook,MIN,RB,10,BUF,3,10,7500,14.51
 Najee Harris,PIT,RB,1,CIN,18,20,8200,14.5
 Tony Pollard,DAL,RB,8,CHI,7,27,6300,14.49
 Alvin Kamara,NO,RB,15,ATL,29,23,7600,14.49
 Dameon Pierce,HOU,RB,9,PHI,3,15,6800,14.48
 Austin Ekeler,LAC,RB,18,DEN,5,22,9400,14.48
 Dalvin Cook,MIN,RB,13,NYJ,3,11,7600,14.46
 Jamaal Williams,DET,RB,4,SEA,22,22,7400,14.46
 Aaron Jones,GB,RB,1,MIN,30,23,7400,14.45
 Nick Chubb,CLE,RB,7,BAL,22,10,8900,14.44
 Leonard Fournette,TB,RB,1,DAL,11,4,7200,14.43
 Kenneth Walker III,SEA,RB,9,ARI,26,16,8300,14.4
 Kenneth Walker III,SEA,RB,8,NYG,12,18,8400,14.4
 Joe Mixon,CIN,RB,5,BAL,30,10,7700,14.39
 Breece Hall,NYJ,RB,7,DEN,3,9,7600,14.38
 Travis Etienne Jr.,JAX,RB,12,BAL,15,5,8000,14.35
 Jeff Wilson Jr.,MIA,RB,12,HOU,21,32,7700,14.34
 Josh Jacobs,LV,RB,5,KC,23,17,7500,14.34
 Alvin Kamara,NO,RB,5,SEA,31,30,7000,14.34
 Travis Etienne Jr.,JAX,RB,8,DEN,2,11,6500,14.3
 Aaron Jones,GB,RB,13,CHI,18,27,7400,14.3
 Aaron Jones,GB,RB,5,NYG,7,23,7600,14.26
 Nick Chubb,CLE,RB,11,BUF,4,16,8400,14.23
 Kenneth Walker III,SEA,RB,7,LAC,20,29,7300,14.17
 Dameon Pierce,HOU,RB,8,TEN,25,6,7300,14.16
 James Conner,ARI,RB,17,ATL,27,22,8000,14.16
 Dalvin Cook,MIN,RB,15,IND,10,24,8200,14.13
 Leonard Fournette,TB,RB,2,NO,20,23,7800,14.09
 Tony Pollard,DAL,RB,12,NYG,13,24,8500,14.07
 Dalvin Cook,MIN,RB,17,GB,12,25,8300,14.06
 Najee Harris,PIT,RB,4,NYJ,23,23,7000,14.06
 Antonio Gibson,WAS,RB,2,DET,27,28,7400,14.05
 Joe Mixon,CIN,RB,6,NO,17,11,7800,14.05
 Nick Chubb,CLE,RB,12,TB,9,4,8100,14.02
 James Conner,ARI,RB,12,LAC,25,30,7000,14.02
 Dameon Pierce,HOU,RB,11,WAS,15,13,7600,13.99
 Cordarrelle Patterson,ATL,RB,4,CLE,19,12,7600,13.97
 D'Andre Swift,DET,RB,1,PHI,15,21,7600,13.95
 Nick Chubb,CLE,RB,16,NO,12,18,7900,13.92
 Dalvin Cook,MIN,RB,12,NE,4,2,7800,13.91
 Saquon Barkley,NYG,RB,14,PHI,3,20,8200,13.89
 David Montgomery,CHI,RB,3,HOU,23,24,7100,13.88
 Alvin Kamara,NO,RB,3,CAR,14,26,7000,13.88
 Aaron Jones,GB,RB,16,MIA,29,19,7800,13.88
 Travis Etienne Jr.,JAX,RB,13,DET,32,21,8000,13.87
 D'Andre Swift,DET,RB,2,WAS,19,25,8200,13.87
 Leonard Fournette,TB,RB,8,BAL,21,13,7800,13.86
 James Conner,ARI,RB,1,KC,20,15,7700,13.8
 Nick Chubb,CLE,RB,14,CIN,10,15,8400,13.78
 Miles Sanders,PHI,RB,15,CHI,18,29,7800,13.77
 Khalil Herbert,CHI,RB,4,NYG,12,27,7200,13.76
 Rhamondre Stevenson,NE,RB,11,NYJ,5,8,8100,13.74
 Dalvin Cook,MIN,RB,4,NO,8,11,8000,13.7
 James Conner,ARI,RB,15,DEN,4,12,7200,13.7
 Travis Etienne Jr.,JAX,RB,17,HOU,19,32,7700,13.68
 Dameon Pierce,HOU,RB,7,LV,28,12,7700,13.64
 Rhamondre Stevenson,NE,RB,16,CIN,10,10,8300,13.64
 Rhamondre Stevenson,NE,RB,12,MIN,26,21,7200,13.63
 Nick Chubb,CLE,RB,1,CAR,7,11,7800,13.6
 James Robinson,JAX,RB,5,HOU,23,32,8000,13.6
 Jamaal Williams,DET,RB,5,NE,19,5,8300,13.6
 Saquon Barkley,NYG,RB,1,TEN,12,1,6800,13.55
 Aaron Jones,GB,RB,15,LAR,13,9,7400,13.54
 Tony Pollard,DAL,RB,15,JAX,22,19,8200,13.51
 Rhamondre Stevenson,NE,RB,8,NYJ,10,12,8000,13.5
 D'Onta Foreman,CAR,RB,9,CIN,12,9,7300,13.49
 Alvin Kamara,NO,RB,12,SF,1,2,7100,13.47
 James Conner,ARI,RB,2,LV,24,21,7600,13.43
 Aaron Jones,GB,RB,12,PHI,2,18,7400,13.43
 Joe Mixon,CIN,RB,15,TB,11,7,8100,13.42
 James Conner,ARI,RB,16,TB,13,6,7500,13.4
 Aaron Jones,GB,RB,7,WAS,21,21,6800,13.38
 Josh Jacobs,LV,RB,2,ARI,32,31,6600,13.36
 Leonard Fournette,TB,RB,9,LAR,7,11,7100,13.36
 Joe Mixon,CIN,RB,18,BAL,--,--,7500,13.34
 Miles Sanders,PHI,RB,5,ARI,21,24,7600,13.32
 Samaje Perine,CIN,RB,13,KC,23,15,7100,13.32
 Aaron Jones,GB,RB,11,TEN,19,3,7200,13.31
 Aaron Jones,GB,RB,18,DET,31,15,7400,13.27
 D'Andre Swift,DET,RB,3,MIN,15,18,8000,13.23
 Aaron Jones,GB,RB,3,TB,3,3,7000,13.22
 Saquon Barkley,NYG,RB,15,WAS,8,6,8400,13.21
 Najee Harris,PIT,RB,2,NE,10,10,7200,13.21
 Alvin Kamara,NO,RB,18,CAR,22,18,7100,13.2
 Breece Hall,NYJ,RB,6,GB,7,17,7100,13.17
 Alvin Kamara,NO,RB,13,TB,9,5,6800,13.16
 Rachaad White,TB,RB,12,CLE,24,31,6400,13.15
 Rhamondre Stevenson,NE,RB,7,CHI,9,28,8300,13.15
 Kenneth Walker III,SEA,RB,6,ARI,21,13,6500,13.14
 Kenneth Walker III,SEA,RB,18,LAR,16,20,7700,13.13
 Jonathan Taylor,IND,RB,10,LV,29,26,7000,13.06
 James Conner,ARI,RB,4,CAR,14,19,6800,13.01
 Nick Chubb,CLE,RB,15,BAL,12,4,8000,13
 Najee Harris,PIT,RB,18,CLE,13,29,7200,12.99
 James Conner,ARI,RB,14,NE,7,2,6900,12.99
 Alvin Kamara,NO,RB,16,CLE,18,30,7400,12.98
 Joe Mixon,CIN,RB,17,BUF,2,9,7500,12.98
 Javonte Williams O,DEN,RB,1,SEA,24,30,6200,12.95
 Javonte Williams O,DEN,RB,4,LV,24,30,6900,12.95
 Dameon Pierce,HOU,RB,5,JAX,10,22,7500,12.94
 Aaron Jones,GB,RB,8,BUF,1,2,7100,12.94
 Darrell Henderson Jr.,LAR,RB,2,ATL,30,1,6200,12.93
 Tony Pollard,DAL,RB,14,HOU,18,32,7500,12.92
 Dameon Pierce,HOU,RB,13,CLE,24,31,6500,12.92
 Raheem Mostert,MIA,RB,8,DET,32,31,6800,12.91
 Miles Sanders,PHI,RB,8,PIT,27,22,7400,12.9
 Travis Etienne Jr.,JAX,RB,18,TEN,26,3,7300,12.9
 Miles Sanders,PHI,RB,17,NO,10,14,6800,12.83
 Ezekiel Elliott,DAL,RB,7,DET,32,31,6900,12.82
 Cam Akers,LAR,RB,18,SEA,24,30,7300,12.82
 Miles Sanders,PHI,RB,9,HOU,21,32,6900,12.76
 Alvin Kamara,NO,RB,17,PHI,5,18,7300,12.74
 David Montgomery,CHI,RB,13,GB,17,28,7000,12.72
 Aaron Jones,GB,RB,10,DAL,5,4,7200,12.72
 D'Andre Swift,DET,RB,8,MIA,20,14,7500,12.72
 Antonio Gibson,WAS,RB,3,PHI,12,27,6700,12.71
 Josh Jacobs,LV,RB,18,KC,23,12,9000,12.64
 Ezekiel Elliott,DAL,RB,14,HOU,18,32,8000,12.61
 Dameon Pierce,HOU,RB,12,MIA,23,11,6900,12.61
 James Conner,ARI,RB,3,LAR,19,2,7100,12.6
 Josh Jacobs,LV,RB,4,DEN,4,3,6500,12.59
 Elijah Mitchell,SF,RB,1,CHI,17,18,6700,12.57
 Javonte Williams O,DEN,RB,3,SF,1,4,7000,12.57
 Miles Sanders,PHI,RB,18,NYG,21,23,6700,12.52
 Damien Harris,NE,RB,5,DET,32,31,7200,12.5
 Josh Jacobs,LV,RB,17,SF,1,1,8500,12.5
 Dalvin Cook,MIN,RB,18,CHI,25,31,8000,12.49
 Rhamondre Stevenson,NE,RB,17,MIA,28,17,7000,12.48
 David Montgomery,CHI,RB,15,PHI,2,15,6800,12.46
 Antonio Gibson,WAS,RB,1,JAX,23,22,6800,12.45
 Najee Harris,PIT,RB,12,IND,7,13,7200,12.45
 Jamaal Williams,DET,RB,7,DAL,7,6,7800,12.42
 Eno Benjamin,ARI,RB,6,SEA,32,28,6300,12.42
 Jeff Wilson Jr.,SF,RB,4,LAR,16,1,7000,12.39
 Brian Robinson Jr.,WAS,RB,17,CLE,15,30,6900,12.38
 Jeff Wilson Jr.,SF,RB,6,ATL,26,19,7200,12.38
 Michael Carter,NYJ,RB,12,CHI,14,29,6200,12.38
 James Conner,ARI,RB,11,SF,1,1,6800,12.32
 Joe Mixon,CIN,RB,16,NE,6,2,7500,12.29
 Najee Harris,PIT,RB,3,CLE,26,13,7000,12.29
 Nick Chubb,CLE,RB,17,WAS,8,7,7800,12.28
 James Robinson,JAX,RB,4,PHI,7,20,7800,12.25
 Tony Pollard,DAL,RB,16,PHI,3,17,7700,12.25
 Travis Etienne Jr.,JAX,RB,16,NYJ,4,8,7000,12.24
 Cordarrelle Patterson,ATL,RB,2,LAR,28,2,7500,12.23
 David Montgomery,CHI,RB,6,WAS,23,23,6600,12.22
 Miles Sanders,PHI,RB,14,NYG,16,23,7100,12.2
 Leonard Fournette,TB,RB,10,SEA,23,22,6700,12.2
 Ezekiel Elliott,DAL,RB,17,TEN,26,3,7400,12.18
 Melvin Gordon III,DEN,RB,5,IND,13,15,7100,12.18
 Rhamondre Stevenson,NE,RB,5,DET,32,31,6000,12.15
 Nick Chubb,CLE,RB,18,PIT,17,11,7900,12.14
 Zonovan Knight,NYJ,RB,15,DET,32,14,7200,12.14
 Latavius Murray,DEN,RB,12,CAR,20,28,6200,12.11
 Raheem Mostert,MIA,RB,7,PIT,27,20,6400,12.07
 Kenneth Walker III,SEA,RB,16,KC,24,13,6900,12.06
 David Montgomery,CHI,RB,11,ATL,31,23,6200,12.03
 Breece Hall,NYJ,RB,5,MIA,27,4,6600,12.02
 Dameon Pierce,HOU,RB,4,LAC,26,26,6800,12
 Travis Etienne Jr.,JAX,RB,15,DAL,5,5,7000,12
 Tyler Allgeier,ATL,RB,18,TB,14,5,6500,11.99
 Jeff Wilson Jr.,SF,RB,5,CAR,15,20,6500,11.98
 Travis Etienne Jr.,JAX,RB,1,WAS,27,12,6200,11.98
 James Robinson,JAX,RB,3,LAC,16,19,6600,11.97
 J.K. Dobbins,BAL,RB,5,CIN,9,8,6500,11.97
 Kenyan Drake,BAL,RB,11,CAR,20,28,6800,11.95
 Ezekiel Elliott,DAL,RB,1,TB,6,3,7200,11.95
 Eno Benjamin,ARI,RB,7,NO,20,11,6100,11.93
 Miles Sanders,PHI,RB,4,JAX,5,6,6600,11.92
 David Montgomery,CHI,RB,7,NE,14,1,6800,11.92
 Clyde Edwards-Helaire,KC,RB,5,LV,22,16,7800,11.9
 Tony Pollard,DAL,RB,10,GB,6,21,7000,11.89
 Miles Sanders,PHI,RB,16,DAL,8,5,7100,11.87
 David Montgomery,CHI,RB,12,NYJ,5,9,7500,11.87
 Tony Pollard,DAL,RB,18,WAS,11,6,8000,11.87
 Raheem Mostert,MIA,RB,9,CHI,10,29,6500,11.86
 Najee Harris,PIT,RB,5,BUF,2,9,6600,11.85
 Jerick McKinnon,KC,RB,18,LV,30,26,7700,11.85
 Jamaal Williams,DET,RB,13,JAX,20,16,7500,11.83
 David Montgomery,CHI,RB,2,GB,25,15,6400,11.83
 Tony Pollard,DAL,RB,13,IND,8,17,7200,11.82
 Ezekiel Elliott,DAL,RB,4,WAS,31,17,6400,11.79
 Jerick McKinnon,KC,RB,16,SEA,27,31,7300,11.79
 Miles Sanders,PHI,RB,6,DAL,5,5,7600,11.75
 Antonio Gibson,WAS,RB,4,DAL,10,14,6600,11.75
 Josh Jacobs,LV,RB,3,TEN,29,32,6500,11.74
 Darrell Henderson Jr.,LAR,RB,6,CAR,18,27,5700,11.74
 James Conner,ARI,RB,5,PHI,3,15,6700,11.73
 David Montgomery,CHI,RB,5,MIN,17,28,7100,11.72
 Travis Etienne Jr.,JAX,RB,14,TEN,22,3,7400,11.72
 David Montgomery,CHI,RB,17,DET,32,16,7500,11.72
 Eno Benjamin,ARI,RB,8,MIN,18,17,7000,11.72
 Kenneth Walker III,SEA,RB,17,NYJ,2,9,6700,11.7
 Rhamondre Stevenson,NE,RB,18,BUF,2,9,6600,11.69
 Miles Sanders,PHI,RB,12,GB,13,26,7000,11.68
 Antonio Gibson,WAS,RB,12,ATL,29,23,6100,11.68
 David Montgomery,CHI,RB,18,MIN,32,21,6700,11.67
 Najee Harris,PIT,RB,16,LV,25,26,6600,11.66
 J.K. Dobbins,BAL,RB,16,ATL,29,21,7000,11.65
 Nyheim Hines,IND,RB,5,DEN,4,6,6300,11.65
 David Montgomery,CHI,RB,10,DET,32,27,6700,11.63
 Samaje Perine,CIN,RB,12,TEN,18,3,6600,11.62
 Cam Akers,LAR,RB,1,BUF,1,17,6300,11.61
 Miles Sanders,PHI,RB,10,WAS,16,20,7200,11.6
 AJ Dillon,GB,RB,2,CHI,3,4,6700,11.6
 Miles Sanders,PHI,RB,3,WAS,28,30,6800,11.57
 Clyde Edwards-Helaire,KC,RB,2,LAC,16,18,6800,11.57
 Rhamondre Stevenson,NE,RB,15,LV,28,24,8500,11.57
 Josh Jacobs,LV,RB,1,LAC,26,29,7000,11.56
 Cordarrelle Patterson,ATL,RB,3,SEA,21,17,7600,11.55
 D'Onta Foreman,CAR,RB,8,ATL,31,9,6400,11.53
 Devin Singletary,BUF,RB,12,DET,32,25,6900,11.53
 Isiah Pacheco,KC,RB,15,HOU,17,32,7600,11.51
 Cam Akers,LAR,RB,17,LAC,18,28,7200,11.51
 AJ Dillon,GB,RB,4,NE,16,4,6500,11.5
 Aaron Jones,GB,RB,17,MIN,31,21,7600,11.45
