name,team,pos,wk,opp,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,FPTS/G,FPTS
 Joe MixonF • 42 - 21 vs. CAR,CIN,RB,9,CAR,22,153,7,4,5,4,58,1,0,0,58.1,58.1
 Josh JacobsF/OT • 34 - 40 @ SEA,LV,RB,12,SEA,33,229,6.9,2,7,6,74,0,0,0,51.3,51.3
 Alvin KamaraF • 24 - 0 vs. LV,NO,RB,8,LV,18,62,3.4,1,10,9,96,2,0,0,42.8,42.8
 Christian McCaffreyF • 14 - 31 @ LAR,SF,RB,8,LAR,18,94,5.2,1,9,8,55,1,1,0,40.3,40.26
 Tony PollardF • 3 - 40 @ MIN,DAL,RB,11,MIN,15,80,5.3,0,6,6,109,2,0,0,39.9,39.9
 Josh JacobsF • 38 - 20 vs. HOU,LV,RB,7,HOU,20,143,7.2,3,4,3,12,0,0,0,39.5,39.5
 Austin EkelerF • 28 - 30 @ CLE,LAC,RB,5,CLE,16,173,10.8,1,4,4,26,1,0,0,38.9,38.9
 Derrick HenryF • 10 - 17 @ HOU,TEN,RB,8,HOU,32,219,6.8,2,1,1,9,0,0,0,38.8,38.8
 Cam AkersF • 51 - 14 vs. DEN,LAR,RB,16,DEN,23,118,5.1,3,2,2,29,0,0,0,37.7,37.7
 Josh JacobsF • 32 - 23 vs. DEN,LV,RB,4,DEN,28,144,5.1,2,6,5,31,0,0,0,37.5,37.5
 Tony PollardF • 49 - 29 vs. CHI,DAL,RB,8,CHI,14,131,9.4,3,1,1,16,0,0,0,36.7,36.7
 Austin EkelerF • 23 - 37 vs. SEA,LAC,RB,7,SEA,9,31,3.4,1,12,12,96,1,1,0,36.7,36.7
 Saquon BarkleyF • 20 - 21 @ TEN,NYG,RB,1,TEN,18,164,9.1,1,7,6,30,0,1,0,36.4,36.4
 Leonard FournetteF • 21 - 15 vs. ATL,TB,RB,5,ATL,14,56,4,1,11,10,83,1,0,0,35.9,35.9
 Jerick McKinnonF • 28 - 34 @ DEN,KC,RB,14,DEN,6,22,3.7,0,9,7,112,2,0,0,35.4,35.4
 Austin EkelerF • 31 - 10 vs. LAR,LAC,RB,17,LAR,10,122,12.2,2,4,4,39,0,0,0,35.1,35.1
 Aaron JonesF • 27 - 10 vs. CHI,GB,RB,2,CHI,15,132,8.8,1,3,3,38,1,0,0,35,35
 Austin EkelerF • 24 - 34 @ HOU,LAC,RB,4,HOU,13,60,4.6,2,7,6,49,1,1,0,34.9,34.9
 D'Onta ForemanF/OT • 37 - 34 @ ATL,CAR,RB,8,ATL,26,118,4.5,3,1,0,0,0,0,0,34.8,34.8
 Christian McCaffreyF/OT • 34 - 37 @ LV,SF,RB,17,LV,19,121,6.4,1,9,6,72,0,0,0,34.3,34.3
 Jerick McKinnonF/OT • 24 - 30 @ HOU,KC,RB,15,HOU,10,52,5.2,1,8,8,70,1,0,0,34.2,34.2
 Miles SandersF • 40 - 33 vs. GB,PHI,RB,12,GB,21,143,6.8,2,3,3,17,0,0,0,34,34
 Khalil HerbertF • 23 - 20 vs. HOU,CHI,RB,3,HOU,20,157,7.8,2,2,2,12,0,0,0,33.9,33.9
