Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Travis Kelce,KC,TE,13,CIN,11,12,8400,16.48
 Travis Kelce,KC,TE,9,TEN,18,19,8200,16.21
 Travis Kelce,KC,TE,12,LAR,12,11,8200,16.05
 Travis Kelce,KC,TE,11,LAC,24,14,8000,15.93
 Travis Kelce,KC,TE,14,DEN,2,14,8000,15.9
 Travis Kelce,KC,TE,5,LV,22,21,8500,15.77
 Travis Kelce,KC,TE,15,HOU,17,19,8000,15.76
 Travis Kelce,KC,TE,18,LV,30,21,8200,15.58
 Travis Kelce,KC,TE,16,SEA,27,32,8600,15.52
 Travis Kelce,KC,TE,2,LAC,16,24,8400,15.35
 Travis Kelce,KC,TE,10,JAX,15,9,8500,15.13
 Travis Kelce,KC,TE,3,IND,17,28,7800,14.81
 Mark Andrews,BAL,TE,7,CLE,24,12,8500,14.74
 Travis Kelce,KC,TE,17,DEN,4,23,8300,14.61
 Mark Andrews,BAL,TE,5,CIN,9,14,7800,14.48
 Mark Andrews,BAL,TE,6,NYG,10,13,7800,14.45
 Travis Kelce,KC,TE,6,BUF,2,4,8300,14.33
 Travis Kelce,KC,TE,1,ARI,9,2,8000,14.24
 Mark Andrews,BAL,TE,4,BUF,2,5,8400,14.23
 Travis Kelce,KC,TE,7,SF,1,7,8300,14.16
 Travis Kelce,KC,TE,4,TB,3,16,8000,13.83
 Mark Andrews,BAL,TE,12,JAX,19,14,7300,13.81
 Mark Andrews,BAL,TE,1,NYJ,32,27,7900,13.63
 Mark Andrews,BAL,TE,8,TB,12,24,7600,13.1
 Mark Andrews,BAL,TE,3,NE,5,13,7700,13.05
 Mark Andrews,BAL,TE,2,MIA,2,17,7400,12.43
 Mark Andrews,BAL,TE,11,CAR,20,12,7700,12.17
 Mark Andrews,BAL,TE,13,DEN,2,14,7100,11.86
 Mark Andrews,BAL,TE,14,PIT,25,13,6800,11.1
 Dallas Goedert,PHI,TE,10,WAS,16,1,6800,10.91
 Darren Waller,LV,TE,3,TEN,29,7,6400,10.9
 Darren Waller,LV,TE,4,DEN,4,24,6500,10.88
 Darren Waller,LV,TE,2,ARI,32,32,6800,10.82
 George Kittle,SF,TE,18,ARI,29,31,7600,10.66
 Darren Waller,LV,TE,1,LAC,26,32,7000,10.57
 Taysom Hill,NO,TE,18,CAR,22,8,7000,10.43
 Evan Engram,JAX,TE,18,TEN,26,27,5800,10.26
 Dallas Goedert,PHI,TE,9,HOU,21,13,6300,10.22
 Kyle Pitts,ATL,TE,1,NO,3,7,6000,10.17
 Mark Andrews,BAL,TE,15,CLE,20,7,6500,10.1
 T.J. Hockenson,DET,TE,5,NE,19,29,7000,10.09
 Mark Andrews,BAL,TE,16,ATL,29,28,6400,10.07
 George Kittle,SF,TE,3,DEN,4,29,6200,10.06
 George Kittle,SF,TE,17,LV,25,22,7400,10
 Zach Ertz,ARI,TE,6,SEA,32,32,6000,9.89
 Taysom Hill,NO,TE,17,PHI,5,6,6800,9.88
 Kyle Pitts,ATL,TE,2,LAR,28,3,5900,9.87
 George Kittle,SF,TE,8,LAR,5,1,6900,9.87
 George Kittle,SF,TE,11,ARI,25,31,5900,9.82
 Dallas Goedert,PHI,TE,1,DET,31,23,5700,9.81
 T.J. Hockenson,MIN,TE,14,DET,32,30,6500,9.79
 George Kittle,SF,TE,16,WAS,7,3,7000,9.78
 Darren Waller,LV,TE,5,KC,23,27,6200,9.77
 T.J. Hockenson,MIN,TE,17,GB,12,11,7000,9.75
 Dalton Schultz,DAL,TE,1,TB,6,15,5300,9.73
 George Kittle,SF,TE,10,LAC,25,16,6200,9.72
 George Kittle,SF,TE,13,MIA,22,30,6200,9.7
 Evan Engram,JAX,TE,17,HOU,19,17,5800,9.67
 T.J. Hockenson,MIN,TE,15,IND,10,17,6300,9.65
 Dallas Goedert,PHI,TE,6,DAL,5,3,6100,9.64
 Kyle Pitts,ATL,TE,4,CLE,19,10,6100,9.59
 George Kittle,SF,TE,7,KC,31,22,6600,9.59
 Tyler Higbee,LAR,TE,6,CAR,18,14,6200,9.56
 Dallas Goedert,PHI,TE,8,PIT,27,7,5900,9.55
 T.J. Hockenson,MIN,TE,13,NYJ,3,10,6400,9.54
 Zach Ertz,ARI,TE,7,NO,20,2,6000,9.53
 Kyle Pitts,ATL,TE,3,SEA,21,26,5600,9.49
 George Kittle,SF,TE,5,CAR,15,19,6500,9.48
 T.J. Hockenson,MIN,TE,10,BUF,3,3,6000,9.42
 Dalton Schultz,DAL,TE,15,JAX,22,26,6500,9.37
 Tyler Higbee,LAR,TE,5,DAL,6,5,5500,9.36
 Dallas Goedert,PHI,TE,5,ARI,21,31,6100,9.35
 T.J. Hockenson,DET,TE,4,SEA,22,25,5400,9.34
 George Kittle,SF,TE,12,NO,17,3,6200,9.33
 Zach Ertz,ARI,TE,3,LAR,19,2,5200,9.33
 Zach Ertz,ARI,TE,4,CAR,14,11,5500,9.33
 George Kittle,SF,TE,4,LAR,16,2,6200,9.31
 Dallas Goedert,PHI,TE,3,WAS,28,10,5500,9.28
 T.J. Hockenson,DET,TE,1,PHI,15,31,5700,9.26
 Gerald Everett,LAC,TE,9,ATL,31,24,5800,9.22
 Zach Ertz,ARI,TE,5,PHI,3,11,5900,9.2
 T.J. Hockenson,DET,TE,8,MIA,20,21,6300,9.19
 T.J. Hockenson,MIN,TE,11,DAL,7,2,6500,9.08
 Zach Ertz,ARI,TE,9,SEA,25,32,6600,9.07
 Pat Freiermuth,PIT,TE,12,IND,7,21,5800,9.06
 Pat Freiermuth,PIT,TE,13,ATL,26,20,5900,9.04
 Gerald Everett,LAC,TE,5,CLE,16,8,6300,8.97
 T.J. Hockenson,DET,TE,7,DAL,7,2,6200,8.95
 Dallas Goedert,PHI,TE,2,MIN,5,21,5500,8.93
 Dalton Schultz,DAL,TE,2,CIN,7,27,5600,8.93
 T.J. Hockenson,MIN,TE,12,NE,4,25,6300,8.91
 Gerald Everett,LAC,TE,7,SEA,29,32,6300,8.89
 George Kittle,SF,TE,6,ATL,26,28,5700,8.85
 Dallas Goedert,PHI,TE,18,NYG,21,22,6200,8.84
 Dalton Schultz,DAL,TE,14,HOU,18,20,6200,8.74
 Dallas Goedert,PHI,TE,4,JAX,5,8,6200,8.72
 Zach Ertz,ARI,TE,2,LV,24,28,5200,8.72
 T.J. Hockenson,DET,TE,2,WAS,19,9,5700,8.71
 Pat Freiermuth,PIT,TE,14,BAL,12,15,5800,8.63
 Tyler Higbee,LAR,TE,8,SF,6,12,6000,8.63
 Taysom Hill,NO,TE,12,SF,1,5,6500,8.62
 T.J. Hockenson,MIN,TE,16,NYG,19,19,6000,8.62
 Dalton Schultz,DAL,TE,18,WAS,11,4,6500,8.6
 Dalton Schultz,DAL,TE,13,IND,8,19,6000,8.6
 Tyler Higbee,LAR,TE,2,ATL,30,30,5300,8.56
 Tyler Higbee,LAR,TE,4,SF,1,1,5800,8.56
 David Njoku,CLE,TE,7,BAL,22,17,5700,8.55
 Dalton Schultz,DAL,TE,17,TEN,26,26,6100,8.54
 Zach Ertz,ARI,TE,8,MIN,18,28,6000,8.54
 Pat Freiermuth,PIT,TE,10,NO,16,2,5600,8.52
 Tyler Higbee,LAR,TE,3,ARI,32,32,5700,8.52
 Mark Andrews,BAL,TE,17,PIT,20,9,6300,8.51
 Pat Freiermuth,PIT,TE,11,CIN,10,11,5400,8.46
 Dallas Goedert,PHI,TE,16,DAL,8,2,6200,8.44
 Taysom Hill,NO,TE,15,ATL,29,24,6200,8.43
 Kyle Pitts,ATL,TE,9,LAC,27,19,6300,8.43
 Kyle Pitts,ATL,TE,10,CAR,24,14,5800,8.42
 Tyler Higbee,LAR,TE,11,NO,16,1,6200,8.41
 David Njoku,CLE,TE,15,BAL,12,18,6000,8.4
 David Njoku,CLE,TE,6,NE,14,25,5900,8.38
 Pat Freiermuth,PIT,TE,5,BUF,2,3,5800,8.38
 Dalton Schultz,DAL,TE,11,MIN,23,26,5900,8.37
 Kyle Pitts,ATL,TE,7,CIN,11,18,5900,8.35
 T.J. Hockenson,MIN,TE,9,WAS,17,2,6200,8.35
 Gerald Everett,LAC,TE,4,HOU,17,16,5500,8.33
 Dallas Goedert,PHI,TE,17,NO,10,3,6000,8.3
 George Kittle,SF,TE,15,SEA,25,31,6500,8.29
 Pat Freiermuth,PIT,TE,4,NYJ,23,12,5600,8.27
 Evan Engram,JAX,TE,9,LV,28,30,5200,8.27
 Evan Engram,JAX,TE,16,NYJ,4,13,5500,8.24
 Hayden Hurst,CIN,TE,9,CAR,20,15,5300,8.23
 Taysom Hill,NO,TE,16,CLE,18,9,6500,8.21
 T.J. Hockenson,MIN,TE,18,CHI,25,6,7200,8.21
 Pat Freiermuth,PIT,TE,15,CAR,15,9,5800,8.19
 Pat Freiermuth,PIT,TE,2,NE,10,5,5400,8.19
 David Njoku,CLE,TE,17,WAS,8,7,5600,8.17
 Kyle Pitts,ATL,TE,11,CHI,14,6,5500,8.16
 Dawson Knox,BUF,TE,1,LAR,10,12,5500,8.15
 Pat Freiermuth,PIT,TE,8,PHI,3,13,5700,8.14
 Pat Freiermuth,PIT,TE,17,BAL,7,13,5700,8.11
 Isaiah Likely,BAL,TE,9,NO,16,1,5500,8.09
 Pat Freiermuth,PIT,TE,18,CLE,13,7,5500,8.09
 David Njoku,CLE,TE,5,LAC,25,14,5700,8.08
 Zach Ertz,ARI,TE,1,KC,20,16,5600,8.07
 Dalton Schultz,DAL,TE,16,PHI,3,8,6100,8.04
 Darren Waller,LV,TE,18,KC,23,23,6000,8.02
 Dalton Schultz,DAL,TE,12,NYG,13,18,5800,8.01
 Dalton Schultz,DAL,TE,4,WAS,31,20,5300,8.01
 Dawson Knox,BUF,TE,17,CIN,10,10,5700,7.99
 Pat Freiermuth,PIT,TE,3,CLE,26,13,5900,7.98
 T.J. Hockenson,DET,TE,3,MIN,15,21,5500,7.97
 Dawson Knox,BUF,TE,3,MIA,20,31,5300,7.96
 Gerald Everett,LAC,TE,3,JAX,6,12,5800,7.95
 Zach Ertz,ARI,TE,10,LAR,9,10,6300,7.92
 Tyler Higbee,LAR,TE,18,SEA,24,32,5600,7.91
 Greg Dulcich,DEN,TE,10,TEN,24,23,5900,7.9
 Dawson Knox,BUF,TE,2,TEN,23,1,5300,7.89
 Pat Freiermuth,PIT,TE,16,LV,25,23,5800,7.84
 George Kittle,SF,TE,14,TB,9,28,5900,7.82
 Robert Tonyan,GB,TE,9,DET,32,28,5000,7.81
 Pat Freiermuth,PIT,TE,7,MIA,26,21,5500,7.8
 Cole Kmet,CHI,TE,17,DET,32,28,5300,7.8
 Gerald Everett,LAC,TE,6,DEN,3,15,6300,7.79
 Greg Dulcich,DEN,TE,11,LV,30,29,5500,7.77
 Gerald Everett,LAC,TE,2,KC,14,26,5500,7.75
 Evan Engram,JAX,TE,15,DAL,5,1,5500,7.72
 Gerald Everett,LAC,TE,12,ARI,30,31,5200,7.68
 Gerald Everett,LAC,TE,10,SF,4,8,5600,7.68
 Gerald Everett,LAC,TE,15,TEN,27,27,5600,7.64
 Darren Waller,LV,TE,16,PIT,21,10,5100,7.63
 Albert Okwuegbunam,DEN,TE,2,HOU,26,14,5100,7.59
 David Njoku,CLE,TE,4,ATL,27,31,5700,7.58
 Dalton Schultz,DAL,TE,10,GB,6,7,5500,7.58
 David Njoku,CLE,TE,14,CIN,10,11,5600,7.57
 Dawson Knox,BUF,TE,12,DET,32,30,5500,7.57
 Pat Freiermuth,PIT,TE,1,CIN,18,26,5300,7.57
 David Njoku,CLE,TE,18,PIT,17,14,5400,7.56
 Gerald Everett,LAC,TE,14,MIA,21,29,5800,7.55
 Greg Dulcich,DEN,TE,14,KC,24,17,5400,7.54
 Cole Kmet,CHI,TE,11,ATL,31,20,5700,7.52
 Cole Kmet,CHI,TE,15,PHI,2,8,5300,7.5
 Hayden Hurst,CIN,TE,8,CLE,21,11,5000,7.5
 Greg Dulcich,DEN,TE,12,CAR,20,10,5300,7.48
 Gerald Everett,LAC,TE,16,IND,16,15,5600,7.43
 Taysom Hill,NO,TE,13,TB,9,27,6500,7.4
 Gerald Everett,LAC,TE,1,LV,22,30,5200,7.4
 Hayden Hurst,CIN,TE,11,PIT,27,9,5200,7.4
 Tyler Higbee,LAR,TE,1,BUF,1,4,5300,7.38
 Robert Tonyan,GB,TE,7,WAS,21,5,5500,7.37
 Tyler Higbee,LAR,TE,12,KC,27,22,5700,7.36
 Gerald Everett,LAC,TE,13,LV,29,27,5400,7.35
 Dalton Schultz,DAL,TE,8,CHI,7,5,5100,7.31
 Albert Okwuegbunam,DEN,TE,1,SEA,24,24,4900,7.3
 Tyler Higbee,LAR,TE,9,TB,13,26,6100,7.3
 Hayden Hurst,CIN,TE,12,TEN,18,17,5100,7.29
 Cole Kmet,CHI,TE,18,MIN,32,18,5800,7.28
 Hayden Hurst,CIN,TE,13,KC,23,18,5300,7.28
 Dawson Knox,BUF,TE,9,NYJ,8,14,5100,7.27
 Foster Moreau,LV,TE,13,LAC,25,24,5500,7.27
 Logan Thomas,WAS,TE,2,DET,27,19,5200,7.26
 Dawson Knox,BUF,TE,16,CHI,17,5,5700,7.24
 Hayden Hurst,CIN,TE,7,ATL,25,28,4900,7.22
 Greg Dulcich,DEN,TE,15,ARI,30,31,5600,7.21
 Dawson Knox,BUF,TE,18,NE,--,--,5700,7.19
 David Njoku,CLE,TE,16,NO,12,4,5800,7.18
 Foster Moreau,LV,TE,12,SEA,22,32,5400,7.17
 Robert Tonyan,GB,TE,8,BUF,1,8,5200,7.14
 Foster Moreau,LV,TE,11,DEN,1,18,5600,7.07
 Hayden Hurst,CIN,TE,6,NO,17,5,4900,7.06
 Hayden Hurst,CIN,TE,3,NYJ,24,17,5100,7.05
 Kyle Pitts,ATL,TE,6,SF,1,2,5500,7.04
