name,team,pos,wk,opp,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,FPTS/G,FPTS
 T.J. HockensonF • 45 - 48 vs. SEA,DET,TE,4,SEA,12,8,66.7,179,2,81,14.9,22.4,0,0,0,0,0,0,42.9,42.9
 Evan EngramF • 22 - 36 @ TEN,JAX,TE,14,TEN,15,11,73.3,162,2,25,10.8,14.7,0,0,0,0,0,0,42.2,42.2
 T.J. HockensonF • 27 - 24 vs. NYG,MIN,TE,16,NYG,16,13,81.2,109,2,16,6.8,8.4,0,0,0,0,0,0,38.9,38.9
 Travis KelceF • 27 - 30 @ LAC,KC,TE,11,LAC,10,6,60,115,3,34,11.5,19.2,0,0,0,0,0,0,38.5,38.5
 Taysom HillF • 39 - 32 vs. SEA,NO,TE,5,SEA,0,0,0,0,0,0,0,0,9,112,12.4,3,1,0,37.1,37.08
 Travis KelceF • 30 - 29 vs. LV,KC,TE,5,LV,8,7,87.5,25,4,8,3.1,3.6,0,0,0,0,0,0,33.5,33.5
 George KittleF • 37 - 20 vs. WAS,SF,TE,16,WAS,8,6,75,120,2,34,15,20,0,0,0,0,0,0,33,33
 Tyler HigbeeF • 51 - 14 vs. DEN,LAR,TE,16,DEN,11,9,81.8,94,2,21,8.5,10.4,0,0,0,0,0,0,30.4,30.4
 Travis KelceF • 21 - 44 @ ARI,KC,TE,1,ARI,9,8,88.9,121,1,35,13.4,15.1,0,0,0,0,0,0,29.1,29.1
 Mark AndrewsF • 26 - 37 @ NE,BAL,TE,3,NE,13,8,61.5,89,2,25,6.8,11.1,0,0,0,0,0,0,28.9,28.9
 Mark AndrewsF • 38 - 42 vs. MIA,BAL,TE,2,MIA,11,9,81.8,104,1,25,9.5,11.6,1,3,3,0,0,0,28.7,28.7
 Dallas GoedertF • 17 - 29 @ HOU,PHI,TE,9,HOU,9,8,88.9,100,1,21,11.1,12.5,0,0,0,0,0,0,27,27
 Mark AndrewsF • 24 - 20 @ NYG,BAL,TE,6,NYG,11,7,63.6,106,1,18,9.6,15.1,0,0,0,0,0,0,26.6,26.6
 Mo Alie-CoxF • 17 - 24 vs. TEN,IND,TE,4,TEN,6,6,100,85,2,34,14.2,14.2,0,0,0,0,0,0,26.5,26.5
 Tyler ConklinF • 17 - 22 vs. NE,NYJ,TE,8,NE,10,6,60,79,2,27,7.9,13.2,0,0,0,0,0,0,25.9,25.9
 Shane ZylstraF • 37 - 23 @ CAR,DET,TE,16,CAR,6,5,83.3,26,3,10,4.3,5.2,0,0,0,0,0,0,25.6,25.6
 George KittleF • 13 - 21 @ SEA,SF,TE,15,SEA,5,4,80,93,2,54,18.6,23.2,0,0,0,0,0,0,25.3,25.3
 Jordan AkinsF • 31 - 32 @ IND,HOU,TE,18,IND,8,4,50,70,2,28,8.8,17.5,0,0,0,0,0,0,25,25
 Mike GesickiF • 16 - 24 vs. MIN,MIA,TE,6,MIN,7,6,85.7,69,2,18,9.9,11.5,0,0,0,0,0,0,24.9,24.9
 Dalton SchultzF • 13 - 27 @ TEN,DAL,TE,17,TEN,10,7,70,56,2,13,5.6,8,0,0,0,0,0,0,24.6,24.6
 George KittleF • 10 - 38 @ ARI,SF,TE,11,ARI,6,4,66.7,84,2,39,14,21,0,0,0,0,0,0,24.4,24.4
 Travis KelceF • 31 - 41 @ TB,KC,TE,4,TB,10,9,90,92,1,22,9.2,10.2,0,0,0,0,0,0,24.2,24.2
 David NjokuF • 29 - 17 vs. PIT,CLE,TE,3,PIT,10,9,90,89,1,19,8.9,9.9,0,0,0,0,0,0,23.9,23.9
 Travis KelceF/OT • 20 - 17 vs. TEN,KC,TE,9,TEN,17,10,58.8,106,0,23,6.2,10.6,0,0,0,0,0,0,23.6,23.6
 Travis KelceF/OT • 24 - 30 @ HOU,KC,TE,15,HOU,10,10,100,105,0,18,10.5,10.5,0,0,0,0,0,0,23.5,23.5
 Cole KmetF • 30 - 31 vs. DET,CHI,TE,10,DET,7,4,57.1,74,2,50,10.6,18.5,0,0,0,0,0,0,23.4,23.4
 Mark AndrewsF • 19 - 17 vs. CIN,BAL,TE,5,CIN,10,8,80,89,1,20,8.9,11.1,0,0,0,0,0,0,22.9,22.9
 Juwan JohnsonF • 21 - 18 vs. ATL,NO,TE,15,ATL,6,4,66.7,67,2,22,11.2,16.8,0,0,0,0,0,0,22.7,22.7
 Travis KelceF • 20 - 24 vs. BUF,KC,TE,6,BUF,10,8,80,108,0,25,10.8,13.5,1,4,4,0,0,0,22.2,22.2
 Cole KmetF • 32 - 35 vs. MIA,CHI,TE,9,MIA,6,5,83.3,41,2,18,6.8,8.2,2,9,4.5,0,0,0,22,22
 Mark AndrewsF • 13 - 16 vs. PIT,BAL,TE,17,PIT,9,9,100,100,0,19,11.1,11.1,0,0,0,0,0,0,22,22
 Dawson KnoxF • 32 - 29 vs. MIA,BUF,TE,15,MIA,8,6,75,98,1,45,12.2,16.3,0,0,0,0,0,0,21.8,21.8
 George KittleF • 23 - 44 vs. KC,SF,TE,7,KC,9,6,66.7,98,1,34,10.9,16.3,0,0,0,0,0,0,21.8,21.8
 Evan EngramF • 3 - 19 @ NYJ,JAX,TE,16,NYJ,8,7,87.5,113,0,36,14.1,16.1,0,0,0,0,0,0,21.3,21.3
 Isaiah LikelyF • 27 - 16 @ CIN,BAL,TE,18,CIN,13,8,61.5,103,0,28,7.9,12.9,0,0,0,0,0,0,21.3,21.3
 Trey McBrideF • 20 - 19 @ ATL,ARI,TE,17,ATL,10,7,70,78,1,26,7.8,11.1,0,0,0,0,0,0,20.8,20.8
 Travis KelceF • 24 - 10 vs. SEA,KC,TE,16,SEA,8,6,75,113,0,52,14.1,18.8,0,0,0,0,0,0,20.3,20.3
 Juwan JohnsonF • 42 - 34 @ ARI,NO,TE,7,ARI,5,5,100,32,2,17,6.4,6.4,0,0,0,0,0,0,20.2,20.2
 Travis KelceF • 27 - 17 vs. JAX,KC,TE,10,JAX,7,6,85.7,81,1,46,11.6,13.5,0,0,0,0,0,0,20.1,20.1
