name,team,pos,wk,opp,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,FPTS/G,FPTS
 Mike EvansF • 30 - 24 vs. CAR,TB,WR,17,CAR,12,10,83.3,207,3,63,17.2,20.7,0,0,0,0,0,0,51.7,51.7
 Stefon DiggsF • 41 - 7 vs. TEN,BUF,WR,2,TEN,15,12,80,148,3,46,9.9,12.3,0,0,0,0,0,0,47.8,47.8
 Tyreek HillF • 38 - 42 @ BAL,MIA,WR,2,BAL,13,11,84.6,190,2,60,14.6,17.3,0,0,0,0,0,0,45,45
 Jaylen WaddleF • 38 - 42 @ BAL,MIA,WR,2,BAL,19,11,57.9,171,2,59,9,15.5,0,0,0,0,0,0,43.1,43.1
 A.J. BrownF • 35 - 13 vs. PIT,PHI,WR,8,PIT,11,6,54.5,156,3,43,14.2,26,0,0,0,0,0,0,42.6,42.6
 Amon-Ra St. BrownF • 36 - 27 vs. WAS,DET,WR,2,WAS,12,9,75,116,2,49,9.7,12.9,2,68,34,0,0,0,42.4,42.4
 Justin JeffersonF • 23 - 7 vs. GB,MIN,WR,1,GB,11,9,81.8,184,2,64,16.7,20.4,0,0,0,0,0,0,42.4,42.4
 CeeDee LambF/OT • 31 - 28 @ GB,DAL,WR,10,GB,15,11,73.3,150,2,35,10,13.6,0,0,0,0,0,0,41,41
 Davante AdamsF • 27 - 20 vs. LAC,LV,WR,13,LAC,12,8,66.7,177,2,45,14.8,22.1,0,0,0,0,0,0,40.7,40.7
 Davante AdamsF • 27 - 20 @ JAX,LV,WR,9,JAX,17,10,58.8,146,2,38,8.6,14.6,0,0,0,0,0,0,39.6,39.6
 Justin JeffersonF/OT • 30 - 33 @ BUF,MIN,WR,10,BUF,16,10,62.5,193,1,46,12.1,19.3,0,0,0,0,0,0,38.3,38.3
 Zay JonesF/OT • 40 - 34 vs. DAL,JAX,WR,15,DAL,8,6,75,109,3,59,13.6,18.2,0,0,0,0,0,0,37.9,37.9
 Amon-Ra St. BrownF • 40 - 14 vs. JAX,DET,WR,13,JAX,12,11,91.7,114,2,15,9.5,10.4,1,2,2,0,0,0,37.6,37.6
 Davante AdamsF/OT • 34 - 37 vs. SF,LV,WR,17,SF,11,7,63.6,153,2,60,13.9,21.9,0,0,0,0,0,0,37.3,37.3
 CeeDee LambF • 40 - 34 vs. PHI,DAL,WR,16,PHI,11,10,90.9,120,2,36,10.9,12,0,0,0,0,0,0,37,37
 DeAndre HopkinsF • 34 - 26 @ MIN,ARI,WR,8,MIN,13,12,92.3,159,1,33,12.2,13.2,0,0,0,0,0,0,36.9,36.9
 Justin JeffersonF • 34 - 23 @ DET,MIN,WR,14,DET,15,11,73.3,223,0,47,14.9,20.3,0,0,0,0,0,0,36.3,36.3
